step_idx,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,direct_joint_command_0,direct_joint_command_1,direct_joint_command_2,direct_joint_command_3,direct_joint_command_4,direct_joint_command_5,direct_joint_command_6,direct_joint_command_7
0,-1.917476083690417e-06,-0.5236013531684875,-1.917476083690417e-06,0.7853904962539673,1.917476083690417e-06,1.3089936971664429,-5.7524280236975756e-06,0.039000000804662704,-8.359818142705919e-16,-3.4892723933588115e-15,-3.091525004562632e-17,6.344131720542492e-16,-8.872645770291562e-16,-6.34413185289139e-17,1.2700654168255304e-18,-0.0,0.3525673747062683,-0.10550983995199203,-0.07094232738018036,0.30624261498451233,-0.9516535401344299,0.023895947262644768,-0.9497237205505371,-0.3071461319923401,-0.06071345508098602,-1.2407193183898926,1.84818434715271,-1.951108694076538,-1.2329187393188477,-1.3364605903625488,-1.566074013710022,-0.07003313302993774,-0.577202558517456,-0.030001915991306305,-0.0359448567032814,-0.030001915991306305,0.7553905248641968,-0.029998082667589188,1.2789937257766724,-0.0021067471243441105,116.5
1,-0.00040650489972904325,-0.5231641530990601,-0.0006020874716341496,0.7847615480422974,-0.0006116748554632068,1.3082900047302246,-4.793690095539205e-05,0.0430000014603138,-0.005779820494353771,0.006245493423193693,-0.008573857136070728,-0.008984744548797607,-0.008765604346990585,-0.010053052566945553,-0.0006026353221386671,-0.0,0.3525673747062683,-0.10550983995199203,-0.07094232738018036,0.30624261498451233,-0.9516535401344299,0.023895947262644768,-0.9497237205505371,-0.3071461319923401,-0.06071345508098602,-1.257577657699585,1.8518192768096924,-1.9506038427352905,-1.2286195755004883,-1.3470827341079712,-1.5974725484848022,-0.06518791615962982,-0.5744647979736328,-0.03040650486946106,-0.0359448567032814,-0.03060208633542061,0.7547615766525269,-0.0306116733700037,1.278290033340454,-0.002003574511036277,116.5
2,-0.01361024472862482,-0.5099891424179077,-0.013968812301754951,0.7714139819145203,-0.013224831782281399,1.2959606647491455,-0.0017736653098836541,0.10899999737739563,-0.16262935101985931,0.16221846640110016,-0.1621362864971161,-0.161807581782341,-0.1499740183353424,-0.14329023659229279,-0.020160891115665436,-0.0,0.35257434844970703,-0.10561276972293854,-0.07094825059175491,0.30826273560523987,-0.9510015845298767,0.02387467585504055,-0.9490748047828674,-0.309160441160202,-0.060636550188064575,-1.4641804695129395,1.933441162109375,-1.953413963317871,-1.0936977863311768,-1.4431520700454712,-1.949581503868103,0.009008731693029404,-0.5181964635848999,-0.04361024498939514,-0.0359448567032814,-0.0439688116312027,0.7414140105247498,-0.04322483018040657,1.265960693359375,-0.0015034029493108392,116.5
3,-0.01530529372394085,-0.5084724426269531,-0.015520050190389156,0.7700334191322327,-0.015479783527553082,1.293391227722168,-0.0018925487529486418,0.13699999451637268,-0.07469938695430756,0.07201492041349411,-0.0731654018163681,-0.06598856300115585,-0.07094661146402359,-0.0692482739686966,-0.0059715681709349155,-0.0,0.3528272807598114,-0.10565228760242462,-0.07080300897359848,0.30748289823532104,-0.951261043548584,0.023593422025442123,-0.9493375420570374,-0.308363676071167,-0.06058115139603615,-1.3292458057403564,1.8931114673614502,-1.8931834697723389,-1.1361334323883057,-1.4018913507461548,-1.7993769645690918,-0.0503513477742672,-0.5383828282356262,-0.045305293053388596,-0.0359448567032814,-0.04552004858851433,0.7400334477424622,-0.04547978192567825,1.2633912563323975,-0.003403088776394725,116.5
4,-0.02146422676742077,-0.5020086169242859,-0.02193017303943634,0.7632244825363159,-0.021972358226776123,1.286879539489746,-0.0018906312761828303,0.16599999368190765,-0.10324238240718842,0.10674862563610077,-0.10532421618700027,-0.11192581057548523,-0.11696603149175644,-0.1212940514087677,-0.000986130558885634,-0.0,0.3519161343574524,-0.10506092756986618,-0.07108781486749649,0.3073176443576813,-0.9513307809829712,0.022924479097127914,-0.9494129419326782,-0.3081550598144531,-0.06046045199036598,-1.3647220134735107,1.905130386352539,-1.8618433475494385,-1.0940003395080566,-1.430672287940979,-1.8962194919586182,-0.029883358627557755,-0.5422437191009521,-0.051464226096868515,-0.0359448567032814,-0.051930174231529236,0.7332245111465454,-0.05197235941886902,1.2568795680999756,-0.002787133678793907,116.5
5,-0.027510028332471848,-0.4962542951107025,-0.0281217023730278,0.7574931383132935,-0.027310609817504883,1.281819224357605,-0.0024792964104562998,0.19499999284744263,-0.1595613956451416,0.15753434598445892,-0.16449204087257385,-0.1607118844985962,-0.15008358657360077,-0.14534467458724976,-0.008382108993828297,-0.0,0.3532625138759613,-0.10583488643169403,-0.07053563743829727,0.306177020072937,-0.951693594455719,0.023128770291805267,-0.9497426152229309,-0.3070317208766937,-0.0609954334795475,-1.416252851486206,1.9279545545578003,-1.8802189826965332,-1.0134923458099365,-1.4506105184555054,-1.9381860494613647,-0.004994641989469528,-0.5237563848495483,-0.057510025799274445,-0.0359448567032814,-0.0581217035651207,0.727493166923523,-0.05731061100959778,1.2518192529678345,-0.002629135036841035,116.5
6,-0.032244276255369186,-0.49138006567955017,-0.03266612067818642,0.7526323199272156,-0.03268146142363548,1.2760610580444336,-0.0026518693193793297,0.2240000069141388,-0.12951180338859558,0.12838871777057648,-0.12852567434310913,-0.12704648077487946,-0.1319771260023117,-0.1350998729467392,-0.00983391236513853,-0.0,0.353482186794281,-0.10627909004688263,-0.07048596441745758,0.3053770661354065,-0.9519521594047546,0.023062868043780327,-0.9499902725219727,-0.30622968077659607,-0.06117027997970581,-1.3501702547073364,1.9114313125610352,-1.8174948692321777,-0.997763454914093,-1.433081030845642,-1.9119993448257446,-0.02041507139801979,-0.529639720916748,-0.06224427372217178,-0.0359448567032814,-0.06266611814498901,0.7226994037628174,-0.06268145889043808,1.246061086654663,-0.003264321945607662,116.5
7,-0.038015879690647125,-0.485399454832077,-0.03872917965054512,0.746544361114502,-0.03821913152933121,1.2706921100616455,-0.0026940538082271814,0.25200000405311584,-0.13208670914173126,0.13808566331863403,-0.13430549204349518,-0.14052359759807587,-0.13698996603488922,-0.13860611617565155,-0.0019174759509041905,-0.0,0.35270848870277405,-0.10580787807703018,-0.07089783251285553,0.3079422414302826,-0.9511268734931946,0.023006051778793335,-0.9491831660270691,-0.3087848722934723,-0.06085362657904625,-1.3132730722427368,1.9130754470825195,-1.7672606706619263,-0.9584665894508362,-1.4229224920272827,-1.9049403667449951,-0.019458401948213577,-0.531055748462677,-0.06801588088274002,-0.0359448567032814,-0.06872917711734772,0.7177903652191162,-0.0682191327214241,1.240692138671875,-0.0032778067979961634,116.5
8,-0.04359764978289604,-0.48031240701675415,-0.044266849756240845,0.7413403391838074,-0.043810490518808365,1.2651257514953613,-0.0029663352761417627,0.2809999883174896,-0.14444072544574738,0.13770216703414917,-0.1469060480594635,-0.14063316583633423,-0.13975660502910614,-0.13644210994243622,-0.004355409648269415,-0.0,0.3524951636791229,-0.10578563064336777,-0.07109572738409042,0.3065744936466217,-0.9515725374221802,0.022841686382889748,-0.9496497511863708,-0.30740830302238464,-0.06054309010505676,-1.3099734783172607,1.9150738716125488,-1.7509219646453857,-0.9126623868942261,-1.4087473154067993,-1.90081787109375,-0.024876993149518967,-0.5319898724555969,-0.07359764724969864,-0.0359448567032814,-0.07426685094833374,0.7139604687690735,-0.07381048798561096,1.2351257801055908,-0.0037126450333744287,116.5
9,-0.048701971769332886,-0.4747881591320038,-0.04944787174463272,0.7357585430145264,-0.04927913099527359,1.2595860958099365,-0.0031254859641194344,0.3109999895095825,-0.13104578852653503,0.13189496099948883,-0.13107317686080933,-0.13392199575901031,-0.13767477869987488,-0.13909918069839478,-0.00542371766641736,-0.0,0.3514503538608551,-0.10520797967910767,-0.07171284407377243,0.3065173923969269,-0.9516063928604126,0.022188818082213402,-0.9497048854827881,-0.30730825662612915,-0.060184720903635025,-1.2404258251190186,1.9052515029907227,-1.6671644449234009,-0.8741487860679626,-1.3769443035125732,-1.8851021528244019,-0.028441358357667923,-0.5407175421714783,-0.07870197296142578,-0.0359448567032814,-0.07944787293672562,0.7095341086387634,-0.07927913218736649,1.229586124420166,-0.003978726454079151,116.5
