step,env_index,observation,action,clipped_action,direct_joint_command
0,0,"[-0.08749499171972275, -0.2576332688331604, -0.5058839321136475, 0.6599423289299011, -0.385403037071228, 0.8722296953201294, -0.3475039303302765, 0.09691121429204941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[1.8171119689941406, -0.294900119304657, 1.014870524406433, -0.40854015946388245, 1.8026716709136963, -0.6224161386489868, 0.25314000248908997, -1.320284128189087]","[1.0, -0.294900119304657, 1.0, -0.40854015946388245, 1.0, -0.6224161386489868, 0.25314000248908997, -1.0]","[0.012505009770393372, -0.28712329268455505, -0.40588393807411194, 0.6190882921218872, -0.2854030430316925, 0.8099880814552307, -0.32218992710113525, 790.0]"
1,0,"[-0.010713496245443821, -0.3002162277698517, -0.4929172098636627, 0.5924298167228699, -0.2877231538295746, 0.8198161721229553, -0.3220163881778717, 0.08441609889268875, 2.1190171241760254, 0.04103235900402069, 0.9276481866836548, -0.7846257090568542, -0.27735278010368347, -1.0820839405059814, -0.13508011400699615, -0.6321369409561157, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[1.5539599657058716, -0.07464705407619476, 0.6744344830513, -0.12401442974805832, 1.8283045291900635, -1.0754382610321045, 0.05217989534139633, -1.499498724937439]","[1.0, -0.07464705407619476, 0.6744344830513, -0.12401442974805832, 1.0, -1.0, 0.05217989534139633, -1.0]","[0.08928650617599487, -0.3076809346675873, -0.42547374963760376, 0.5800283551216125, -0.18772315979003906, 0.7198161482810974, -0.3167983889579773, 790.0]"
2,0,"[0.11024075001478195, -0.2958073318004608, -0.39986956119537354, 0.5561433434486389, -0.1889643520116806, 0.7174637913703918, -0.3168799877166748, 0.071415476500988, 2.2079074382781982, 0.22085438668727875, 1.8392847776412964, -0.15620021522045135, 0.38757961988449097, -1.6251438856124878, -0.015167410485446453, -0.9926332235336304, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[1.2659878730773926, 0.4186041057109833, 0.22968840599060059, -0.21718093752861023, 1.5964407920837402, -0.935768187046051, -0.08911577612161636, -1.5702464580535889]","[1.0, 0.4186041057109833, 0.22968840599060059, -0.21718093752861023, 1.0, -0.935768187046051, -0.08911577612161636, -1.0]","[0.21024075150489807, -0.2539469301700592, -0.37690073251724243, 0.5344252586364746, -0.08896435052156448, 0.6238869428634644, -0.3257915675640106, 790.0]"
3,0,"[0.24252639710903168, -0.2299014925956726, -0.32291728258132935, 0.5425487756729126, -0.09030082821846008, 0.6132593750953674, -0.32594066858291626, 0.05723770707845688, -2.305453062057495, 0.7236751914024353, 5.225287914276123, -1.2129383087158203, 0.9491438865661621, -0.7916266918182373, 0.02685953490436077, -0.8387820720672607, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7142041325569153, -0.18356555700302124, -0.32746797800064087, 0.7454500198364258, 1.216821312904358, -1.2616498470306396, 0.08877594769001007, -1.2185397148132324]","[0.7142041325569153, -0.18356555700302124, -0.32746797800064087, 0.7454500198364258, 1.0, -1.0, 0.08877594769001007, -1.0]","[0.31394681334495544, -0.2482580542564392, -0.35566407442092896, 0.6170938014984131, 0.009699173271656036, 0.5132593512535095, -0.3170630633831024, 790.0]"
4,0,"[0.3474489152431488, -0.2267078161239624, -0.31917327642440796, 0.5036936402320862, 0.0056670550256967545, 0.5162131190299988, -0.3173053562641144, 0.04431093856692314, -2.0772459506988525, -0.4676227867603302, 2.6643052101135254, -0.6730605363845825, 0.7924407124519348, -2.2188057899475098, -0.06674554198980331, -1.5620945692062378, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.4375278353691101, 0.25492140650749207, -0.3366488814353943, 0.25154876708984375, 0.7169348001480103, -0.8795481324195862, 0.0338665172457695, -1.2586475610733032]","[0.4375278353691101, 0.25492140650749207, -0.3366488814353943, 0.25154876708984375, 0.7169348001480103, -0.8795481324195862, 0.0338665172457695, -1.0]","[0.3912017047405243, -0.20121566951274872, -0.3528381586074829, 0.5288485288619995, 0.07736053317785263, 0.4282582998275757, -0.31391870975494385, 790.0]"
5,0,"[0.3932086229324341, -0.17988862097263336, -0.35202986001968384, 0.5272071957588196, 0.0780477300286293, 0.4215686023235321, -0.313850462436676, 0.030551595613360405, 0.036344725638628006, 0.4769198000431061, 0.05954910069704056, 0.3743644654750824, 0.14377224445343018, -0.22607189416885376, 0.02271026000380516, 0.4374696612358093, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.33178743720054626, 0.08138920366764069, -0.5334809422492981, 0.2819991707801819, 0.47364798188209534, -0.4189225435256958, 0.14095060527324677, -1.3383383750915527]","[0.33178743720054626, 0.08138920366764069, -0.5334809422492981, 0.2819991707801819, 0.47364798188209534, -0.4189225435256958, 0.14095060527324677, -1.0]","[0.42638736963272095, -0.17174969613552094, -0.40537795424461365, 0.5554071068763733, 0.12541252374649048, 0.37967634201049805, -0.29975539445877075, 790.0]"
6,0,"[0.42575526237487793, -0.15150798857212067, -0.40784135460853577, 0.5459820628166199, 0.12622398138046265, 0.3797072470188141, -0.2997705042362213, 0.01711963303387165, -0.3746315538883209, -0.23975826799869537, -0.21349814534187317, 0.007967943325638771, 0.11365151405334473, -0.04743955656886101, 0.012676574289798737, 0.19749867916107178, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6935960054397583, 0.010815367102622986, 0.08153665065765381, 0.06388206034898758, 0.5650424957275391, 0.11660119891166687, 0.16758564114570618, -1.308355450630188]","[0.6935960054397583, 0.010815367102622986, 0.08153665065765381, 0.06388206034898758, 0.5650424957275391, 0.11660119891166687, 0.16758564114570618, -1.0]","[0.49511486291885376, -0.15042644739151, -0.39968767762184143, 0.5523702502250671, 0.18272823095321655, 0.3913673758506775, -0.28301194310188293, 790.0]"
7,0,"[0.475680410861969, -0.1451471447944641, -0.411266952753067, 0.5417287945747375, 0.18413390219211578, 0.39370861649513245, -0.28311118483543396, 0.004408431239426136, 1.0345540046691895, 0.25982576608657837, 0.8593328595161438, -0.11215290427207947, -0.11428073793649673, 0.3103119432926178, -0.002633458934724331, 0.06433586776256561, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.40849965810775757, -0.2509472966194153, -1.1699929237365723, 0.6645233631134033, 0.08978980034589767, -0.4431452751159668, 0.14811687171459198, -1.3459515571594238]","[-0.40849965810775757, -0.2509472966194153, -1.0, 0.6645233631134033, 0.08978980034589767, -0.4431452751159668, 0.14811687171459198, -1.0]","[0.4348304569721222, -0.17024187743663788, -0.5112669467926025, 0.6081811189651489, 0.19311287999153137, 0.3493940830230713, -0.26829949021339417, 790.0]"
8,0,"[0.46169090270996094, -0.15405796468257904, -0.3910292983055115, 0.5485213398933411, 0.19007666409015656, 0.3596299886703491, -0.2688215374946594, 0.0002603959874249995, -3.4347951412200928, -0.4282570779323578, 2.2344424724578857, 0.4394175708293915, 0.8373706340789795, -1.1581957340240479, 0.020754380151629448, -0.29700639843940735, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.11560946702957153, 0.3430187702178955, -0.02369215525686741, -0.2948025166988373, -0.15342675149440765, 0.4454329311847687, 0.1411399096250534, -1.1445982456207275]","[0.11560946702957153, 0.3430187702178955, -0.02369215525686741, -0.2948025166988373, -0.15342675149440765, 0.4454329311847687, 0.1411399096250534, -1.0]","[0.4732518494129181, -0.11975608766078949, -0.3933985233306885, 0.5190410614013672, 0.1747339963912964, 0.4041732847690582, -0.25470754504203796, 790.0]"
9,0,"[0.44869500398635864, -0.11971667408943176, -0.40988269448280334, 0.5382386445999146, 0.17751237750053406, 0.39934927225112915, -0.2544781565666199, -0.00021222014038357884, 0.15328288078308105, 0.8125720620155334, 0.15096217393875122, -1.3038153648376465, -0.08020961284637451, 1.1294201612472534, -0.010564802214503288, 0.2862015962600708, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.13555291295051575, -0.9827052354812622, -0.6063645482063293, 1.300506591796875, 0.3302569091320038, -0.9194021224975586, 0.09368950873613358, -1.4235713481903076]","[0.13555291295051575, -0.9827052354812622, -0.6063645482063293, 1.0, 0.3302569091320038, -0.9194021224975586, 0.09368950873613358, -1.0]","[0.462250292301178, -0.21798720955848694, -0.47051915526390076, 0.6382386684417725, 0.2105380743741989, 0.30740904808044434, -0.2451092004776001, 790.0]"
