step,env_index,observation,action,clipped_action,direct_joint_command
0,0,"[-0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.10000000149011612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.024172548204660416, 0.27403226494789124, -0.0837227925658226, -0.009693008847534657, 0.4529159665107727, -0.05934755876660347, -1.7531089782714844, -0.6172261834144592]","[0.024172548204660416, 0.27403226494789124, -0.0837227925658226, -0.009693008847534657, 0.4529159665107727, -0.05934755876660347, -1.0, -0.6172261834144592]","[-0.0020997405517846346, -0.4505545198917389, -0.014370566233992577, 0.8566404581069946, 0.013132642954587936, 1.2739564180374146, -0.04994705319404602, 790.0]"
1,0,"[-0.003168083494529128, -0.4650017321109772, -0.010794859379529953, 0.8583441972732544, -0.0027443214785307646, 1.27658212184906, -0.008228551596403122, 0.08477231860160828, 0.025910332798957825, 0.3029145896434784, -0.09455403685569763, -0.011525752954185009, 0.5149093270301819, -0.0634332075715065, -1.0938599109649658, 0.8669115304946899, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.0683416798710823, 0.20409274101257324, -0.06434514373540878, -0.01099312026053667, 0.28692060708999634, -0.09978187829256058, -1.75258207321167, -0.3748939037322998]","[-0.0683416798710823, 0.20409274101257324, -0.06434514373540878, -0.01099312026053667, 0.28692060708999634, -0.09978187829256058, -1.0, -0.3748939037322998]","[-0.010002251714468002, -0.4445924460887909, -0.01722937449812889, 0.8572449088096619, 0.02594774030148983, 1.266603946685791, -0.10822854936122894, 790.0]"
2,0,"[-0.006371643394231796, -0.4526253938674927, -0.014252427965402603, 0.857353687286377, 0.018552694469690323, 1.2713491916656494, -0.06697153300046921, 0.07632187753915787, -0.07502002269029617, 0.22573411464691162, -0.07359673082828522, -0.014132751151919365, 0.3343085050582886, -0.10607228428125381, -1.0939708948135376, 1.0031758546829224, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.0971975028514862, 0.11997516453266144, -0.057557061314582825, 0.022176295518875122, 0.1072782501578331, -0.18069453537464142, -1.7549808025360107, -0.311218798160553]","[-0.0971975028514862, 0.11997516453266144, -0.057557061314582825, 0.022176295518875122, 0.1072782501578331, -0.18069453537464142, -1.0, -0.311218798160553]","[-0.016091395169496536, -0.4406278729438782, -0.020008133724331856, 0.8595713376998901, 0.029280520975589752, 1.253279685974121, -0.16697153449058533, 790.0]"
3,0,"[-0.011534892953932285, -0.4447077512741089, -0.017497865483164787, 0.8578941226005554, 0.029412753880023956, 1.2617559432983398, -0.12569598853588104, 0.06958962231874466, -0.10699406266212463, 0.13279399275779724, -0.06631314754486084, 0.023105354979634285, 0.1374838799238205, -0.19341009855270386, -1.0935368537902832, 0.937848687171936, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.09786315262317657, 0.041191697120666504, -0.04629610478878021, 0.048582565039396286, -0.05110554397106171, -0.23814424872398376, -1.748110294342041, -0.24378058314323425]","[-0.09786315262317657, 0.041191697120666504, -0.04629610478878021, 0.048582565039396286, -0.05110554397106171, -0.23814424872398376, -1.0, -0.24378058314323425]","[-0.021321207284927368, -0.4405885934829712, -0.02212747558951378, 0.862752377986908, 0.024302199482917786, 1.2379415035247803, -0.22569599747657776, 790.0]"
4,0,"[-0.01703070104122162, -0.441371887922287, -0.020260032266378403, 0.860045850276947, 0.031022990122437477, 1.2490472793579102, -0.18439513444900513, 0.06462021172046661, -0.10807812213897705, 0.045615363866090775, -0.05415073782205582, 0.05267266929149628, -0.03500625491142273, -0.25510933995246887, -1.093589425086975, 0.9381563663482666, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.09016622602939606, -0.015696683898568153, -0.038776181638240814, 0.061369311064481735, -0.15584003925323486, -0.27517226338386536, -1.7314965724945068, -0.1847335398197174]","[-0.09016622602939606, -0.015696683898568153, -0.038776181638240814, 0.061369311064481735, -0.15584003925323486, -0.27517226338386536, -1.0, -0.1847335398197174]","[-0.026047322899103165, -0.4429415464401245, -0.024137649685144424, 0.866182804107666, 0.015438986010849476, 1.2215300798416138, -0.28439512848854065, 790.0]"
5,0,"[-0.022194288671016693, -0.4415515959262848, -0.022655300796031952, 0.8631533980369568, 0.026974275708198547, 1.234476923942566, -0.24326764047145844, 0.06134645640850067, -0.09978130459785461, -0.017148353159427643, -0.046323586255311966, 0.06696667522192001, -0.14629670977592468, -0.2939620614051819, -1.0947961807250977, 1.0871524810791016, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.08862905204296112, -0.05258515477180481, -0.038586802780628204, 0.06405775249004364, -0.21220175921916962, -0.2987206280231476, -1.708503007888794, -0.1448335349559784]","[-0.08862905204296112, -0.05258515477180481, -0.038586802780628204, 0.06405775249004364, -0.21220175921916962, -0.2987206280231476, -1.0, -0.1448335349559784]","[-0.031057193875312805, -0.44681012630462646, -0.026513980701565742, 0.8695591688156128, 0.0057541001588106155, 1.2046048641204834, -0.34326764941215515, 790.0]"
6,0,"[-0.027205679565668106, -0.4440529942512512, -0.02503044903278351, 0.8666048049926758, 0.020699365064501762, 1.2190330028533936, -0.30258452892303467, 0.059729672968387604, -0.09789637476205826, -0.0574021153151989, -0.0468689389526844, 0.0697692260146141, -0.19103389978408813, -0.3134762644767761, -1.1013071537017822, 1.0118560791015625, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.06866635382175446, -0.06802000850439072, -0.029195405542850494, 0.05571858212351799, -0.22480131685733795, -0.2828464210033417, -1.691119909286499, -0.09899137169122696]","[-0.06866635382175446, -0.06802000850439072, -0.029195405542850494, 0.05571858212351799, -0.22480131685733795, -0.2828464210033417, -1.0, -0.09899137169122696]","[-0.03407231345772743, -0.45085498690605164, -0.027949988842010498, 0.8721766471862793, -0.0017807669937610626, 1.1907483339309692, -0.4025845229625702, 790.0]"
7,0,"[-0.03135070949792862, -0.4477043151855469, -0.027026452124118805, 0.8698092103004456, 0.01376284845173359, 1.204746961593628, -0.36199477314949036, 0.058797191828489304, -0.07576420903205872, -0.07443821430206299, -0.03584601357579231, 0.06045534834265709, -0.22044974565505981, -0.299878865480423, -1.0958309173583984, 1.2222384214401245, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.06333427876234055, -0.08225609362125397, -0.02863960713148117, 0.04952554032206535, -0.23218406736850739, -0.27747419476509094, -1.6647365093231201, -0.07135801762342453]","[-0.06333427876234055, -0.08225609362125397, -0.02863960713148117, 0.04952554032206535, -0.23218406736850739, -0.27747419476509094, -1.0, -0.07135801762342453]","[-0.03768413886427879, -0.4559299349784851, -0.029890412464737892, 0.8747617602348328, -0.00945555791258812, 1.176999568939209, -0.4619947671890259, 788.338623046875]"
8,0,"[-0.03498217836022377, -0.452139288187027, -0.028885601088404655, 0.8726546764373779, 0.006791075691580772, 1.1912082433700562, -0.42164289951324463, 0.059080347418785095, -0.06946984678506851, -0.08954966813325882, -0.03541572391986847, 0.05318712443113327, -0.2222524881362915, -0.2903096377849579, -1.0987519025802612, 1.2798380851745605, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.04861314967274666, -0.08640268445014954, -0.0248175710439682, 0.041477020829916, -0.225552499294281, -0.25319457054138184, -1.6409950256347656, -0.04501016438007355]","[-0.04861314967274666, -0.08640268445014954, -0.0248175710439682, 0.041477020829916, -0.225552499294281, -0.25319457054138184, -1.0, -0.04501016438007355]","[-0.039843492209911346, -0.4607795476913452, -0.031367357820272446, 0.876802384853363, -0.015764174982905388, 1.165888786315918, -0.5216429233551025, 785.420654296875]"
9,0,"[-0.03786041960120201, -0.45695027709007263, -0.030518775805830956, 0.8750917911529541, -0.0017988962354138494, 1.1785213947296143, -0.48051413893699646, 0.0589669868350029, -0.05359118804335594, -0.09471683949232101, -0.02954435907304287, 0.04507308825850487, -0.23147909343242645, -0.2694229185581207, -1.0920283794403076, 0.769315242767334, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.007284532301127911, -0.08215119689702988, 0.00656472984701395, 0.023530010133981705, -0.19301040470600128, -0.17298199236392975, -1.6305246353149414, 0.023460613563656807]","[0.007284532301127911, -0.08215119689702988, 0.00656472984701395, 0.023530010133981705, -0.19301040470600128, -0.17298199236392975, -1.0, 0.023460613563656807]","[-0.03713196516036987, -0.4651654064655304, -0.029862303286790848, 0.8774448037147522, -0.021099936217069626, 1.1612231731414795, -0.580514132976532, 778.6869506835938]"
