step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
0,-0.5626627206802368,1.8847782611846924,-1.0196818113327026,-1.8239942789077759,-1.3680200576782227,0.9653213620185852,-0.28563398122787476,0.5335176587104797,0.6378827691078186,1.953956127166748,0.5934903621673584,1.3013594150543213,-0.5571549534797668,-1.96193265914917,0.04653976112604141,-0.796360433101654
1,-0.6841586828231812,1.9773139953613281,-1.0921112298965454,-1.624830722808838,-1.5953540802001953,0.7594358325004578,-0.16519100964069366,0.47637420892715454,0.307369589805603,2.058164358139038,0.3139328956604004,1.4717292785644531,-0.37520545721054077,-2.021334409713745,-0.09549888223409653,-0.5595008730888367
2,-0.5809191465377808,2.0608344078063965,-0.9147449135780334,-1.3209505081176758,-1.6285938024520874,0.17791308462619781,-0.2774816155433655,0.4758646786212921,0.2110845297574997,2.090179443359375,0.3269902467727661,1.5069448947906494,-0.23425202071666718,-1.9708185195922852,-0.19493189454078674,-0.5026691555976868
3,-0.42891407012939453,2.1003496646881104,-0.6837236285209656,-0.9449312090873718,-1.6482900381088257,-0.5523325204849243,-0.42083320021629333,0.4581069350242615,0.11055168509483337,2.1149988174438477,0.4145607054233551,1.4950106143951416,-0.1602904200553894,-1.863929033279419,-0.33085155487060547,-0.4552660286426544
4,-0.32110100984573364,2.022045612335205,-0.5349076986312866,-0.6131420135498047,-1.6872164011001587,-1.0528299808502197,-0.4843142628669739,0.46126461029052734,0.11492864042520523,2.1286606788635254,0.4880877137184143,1.4547547101974487,-0.18380765616893768,-1.8777536153793335,-0.485319584608078,-0.42749640345573425
5,-0.19669069349765778,1.8935002088546753,-0.4293724298477173,-0.4082232713699341,-1.7282345294952393,-1.247654914855957,-0.4648464024066925,0.5103393197059631,0.1394733339548111,2.1213173866271973,0.47101688385009766,1.4116761684417725,-0.2149418145418167,-1.952542781829834,-0.599678635597229,-0.4362960457801819
6,-0.0523294135928154,1.8224676847457886,-0.3204924762248993,-0.31234103441238403,-1.7035528421401978,-1.2352550029754639,-0.42172569036483765,0.5451957583427429,0.1287262886762619,2.1268389225006104,0.4175872206687927,1.3509713411331177,-0.21447184681892395,-1.9521228075027466,-0.663116455078125,-0.4761635363101959
7,0.08155044168233871,1.7625682353973389,-0.22336484491825104,-0.2104792296886444,-1.6765999794006348,-1.2095977067947388,-0.38826677203178406,0.562172532081604,0.14396020770072937,2.1277213096618652,0.39697927236557007,1.2619714736938477,-0.19673986732959747,-1.9291939735412598,-0.7216131091117859,-0.5085054039955139
8,0.22276851534843445,1.694171667098999,-0.12408454716205597,-0.10461533814668655,-1.6604708433151245,-1.195704460144043,-0.34696054458618164,0.5659219026565552,0.16858342289924622,2.1195311546325684,0.3811119496822357,1.1364028453826904,-0.18644802272319794,-1.8941268920898438,-0.7918956279754639,-0.5332983732223511
9,0.3755232095718384,1.6145106554031372,-0.018452385440468788,-0.0033314600586891174,-1.6538410186767578,-1.201624870300293,-0.29257118701934814,0.5582560300827026,0.20152567327022552,2.0956637859344482,0.36363041400909424,0.9668680429458618,-0.19047923386096954,-1.8537187576293945,-0.877549409866333,-0.5475539565086365
10,0.523763120174408,1.531243920326233,0.07962317019701004,0.07303216308355331,-1.6515064239501953,-1.2127535343170166,-0.2252427190542221,0.5475494265556335,0.24364934861660004,2.059497833251953,0.34189361333847046,0.7523375749588013,-0.19682049751281738,-1.8184428215026855,-0.9641192555427551,-0.5512551665306091
11,0.6375042796134949,1.450893759727478,0.14454230666160583,0.09264519065618515,-1.6666419506072998,-1.196265697479248,-0.15305130183696747,0.547936201095581,0.30509617924690247,2.046943426132202,0.31820571422576904,0.5148490071296692,-0.14712047576904297,-1.8139861822128296,-1.0135281085968018,-0.5434485077857971
12,0.7114967107772827,1.3923612833023071,0.1831233948469162,0.05917533487081528,-1.6465799808502197,-1.1354504823684692,-0.06345482170581818,0.5545540452003479,0.36574095487594604,2.0512161254882812,0.28423982858657837,0.267558217048645,-0.09655751287937164,-1.7994869947433472,-1.0430710315704346,-0.549523651599884
13,0.7374053001403809,1.320225477218628,0.18977655470371246,-0.007163062691688538,-1.595369577407837,-1.012689232826233,0.016316615045070648,0.5667467713356018,0.4448005259037018,2.052070140838623,0.28332775831222534,0.04310910776257515,-0.009956538677215576,-1.7908836603164673,-1.0285704135894775,-0.5386101603507996
14,0.7516304850578308,1.2322916984558105,0.200515016913414,-0.08442962169647217,-1.50184965133667,-0.8788555860519409,0.10029974579811096,0.5787726044654846,0.5200893878936768,2.04013729095459,0.29755622148513794,-0.16374360024929047,0.05330629646778107,-1.7667245864868164,-1.007594347000122,-0.5257882475852966
15,0.8258416652679443,1.0750244855880737,0.3031381070613861,-0.05593612790107727,-1.3746334314346313,-0.8779398202896118,0.1929776817560196,0.5519201159477234,0.5637556910514832,1.9806089401245117,0.33513331413269043,-0.4331773817539215,0.08732281625270844,-1.690029501914978,-0.976998507976532,-0.4778229296207428
16,0.8419103622436523,0.8900890946388245,0.34619876742362976,-0.08179289847612381,-1.2683382034301758,-0.8274539113044739,0.2899380624294281,0.5679861307144165,0.5897597670555115,1.9450504779815674,0.303810179233551,-0.6153713464736938,0.1198652982711792,-1.6592049598693848,-0.9565050005912781,-0.41966143250465393
17,0.8291556239128113,0.721072793006897,0.34242865443229675,-0.10157719999551773,-1.1908597946166992,-0.7546984553337097,0.35540223121643066,0.5774372220039368,0.6134617924690247,1.9119291305541992,0.28570979833602905,-0.7352999448776245,0.15587575733661652,-1.6427258253097534,-0.9259129762649536,-0.3486098647117615
18,0.8072682619094849,0.5880621671676636,0.3247823119163513,-0.1257512867450714,-1.115126132965088,-0.6890860199928284,0.41211262345314026,0.5764510035514832,0.6113324761390686,1.8879005908966064,0.24882853031158447,-0.8147075772285461,0.1512850672006607,-1.6128158569335938,-0.9135445356369019,-0.2974146902561188
