step,agent/xarm7_ball_ee-0/qpos_0,agent/xarm7_ball_ee-0/qpos_1,agent/xarm7_ball_ee-0/qpos_2,agent/xarm7_ball_ee-0/qpos_3,agent/xarm7_ball_ee-0/qpos_4,agent/xarm7_ball_ee-0/qpos_5,agent/xarm7_ball_ee-0/qpos_6,agent/xarm7_ball_ee-0/qpos_7,agent/xarm7_ball_ee-0/qvel_0,agent/xarm7_ball_ee-0/qvel_1,agent/xarm7_ball_ee-0/qvel_2,agent/xarm7_ball_ee-0/qvel_3,agent/xarm7_ball_ee-0/qvel_4,agent/xarm7_ball_ee-0/qvel_5,agent/xarm7_ball_ee-0/qvel_6,agent/xarm7_ball_ee-0/qvel_7,agent/xarm7_ball_ee-1/qpos_0,agent/xarm7_ball_ee-1/qpos_1,agent/xarm7_ball_ee-1/qpos_2,agent/xarm7_ball_ee-1/qpos_3,agent/xarm7_ball_ee-1/qpos_4,agent/xarm7_ball_ee-1/qpos_5,agent/xarm7_ball_ee-1/qpos_6,agent/xarm7_ball_ee-1/qpos_7,agent/xarm7_ball_ee-1/qvel_0,agent/xarm7_ball_ee-1/qvel_1,agent/xarm7_ball_ee-1/qvel_2,agent/xarm7_ball_ee-1/qvel_3,agent/xarm7_ball_ee-1/qvel_4,agent/xarm7_ball_ee-1/qvel_5,agent/xarm7_ball_ee-1/qvel_6,agent/xarm7_ball_ee-1/qvel_7,extra/box_pose_6d_from_bimanual_center_0,extra/box_pose_6d_from_bimanual_center_1,extra/box_pose_6d_from_bimanual_center_2,extra/box_pose_6d_from_bimanual_center_3,extra/box_pose_6d_from_bimanual_center_4,extra/box_pose_6d_from_bimanual_center_5,extra/box_pose_6d_from_bimanual_center_6,extra/box_pose_6d_from_bimanual_center_7,extra/box_pose_6d_from_bimanual_center_8
0,0.004683754872530699,-0.46230873465538025,-0.03943731635808945,0.8443270325660706,-0.07671935856342316,1.282422423362732,0.02572750858962536,0.7237303853034973,-0.09876731783151627,0.15648385882377625,-0.2518814504146576,-0.21629181504249573,-0.42846718430519104,0.402078241109848,-0.12084585428237915,0.0018127900548279285,0.008763682097196579,-0.46298113465309143,-0.006810539867728949,0.8798368573188782,-0.06486403942108154,1.2758069038391113,0.02780952677130699,0.723587691783905,0.15736493468284607,0.4433818757534027,0.1318511664867401,0.4899872839450836,-0.26790285110473633,-0.46194010972976685,0.02019232138991356,-0.1027667373418808,0.45341554284095764,0.01719982735812664,0.041534990072250366,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.004014949314296246,-0.4503296911716461,-0.05565045401453972,0.8296090960502625,-0.10539834946393967,1.3026418685913086,0.020690159872174263,0.7236630916595459,-0.2654981017112732,0.3088672161102295,-0.37990468740463257,-0.35863053798675537,-0.43227624893188477,0.3218062222003937,-0.06854388117790222,-0.02454063668847084,0.016052769497036934,-0.43680205941200256,0.000493889965582639,0.9082726240158081,-0.07670599967241287,1.2466360330581665,0.02495855838060379,0.723565936088562,0.14057165384292603,0.5392048954963684,0.14842742681503296,0.5960859656333923,-0.16168832778930664,-0.49212655425071716,-0.03944730386137962,-0.07799384742975235,0.45341554284095764,0.01719982735812664,0.002294987440109253,1.0,0.0,0.0,0.0,1.0,0.0
2,-0.017327312380075455,-0.4316142797470093,-0.0777541771531105,0.8078079223632812,-0.13518744707107544,1.307104468345642,0.012372978962957859,0.7236067652702332,-0.31556034088134766,0.43520376086235046,-0.4578845798969269,-0.4378359913825989,-0.4448494017124176,0.07223508507013321,-0.11528680473566055,-0.01100460160523653,0.021459441632032394,-0.40792137384414673,0.009210261516273022,0.9395087361335754,-0.0841081365942955,1.2164520025253296,0.019157538190484047,0.7235439419746399,0.11069189012050629,0.5595237016677856,0.16781575977802277,0.6118517518043518,-0.10119961202144623,-0.4991021156311035,-0.08093669265508652,-0.05142023041844368,0.4534148573875427,0.017199061810970306,-0.02909410372376442,1.0,-3.329828928144707e-07,1.6895744465728058e-06,3.329821538500255e-07,1.0,4.254429768479895e-07
3,-0.03281553462147713,-0.4074229896068573,-0.10055642575025558,0.7822465896606445,-0.1658305674791336,1.2908596992492676,-0.00016556728223804384,0.7235842347145081,-0.3196662664413452,0.5329552888870239,-0.4341210722923279,-0.46056732535362244,-0.4536777436733246,-0.24503478407859802,-0.17472070455551147,-0.0006870734505355358,0.023785995319485664,-0.37841951847076416,0.020406784489750862,0.9711442589759827,-0.08922824263572693,1.1860946416854858,0.009319924749433994,0.7235329151153564,0.06650497019290924,0.5650068521499634,0.20672355592250824,0.6124498248100281,-0.07112804055213928,-0.49975693225860596,-0.13757115602493286,-0.03807416930794716,0.4534148871898651,0.017199071124196053,-0.02909409999847412,1.0,-2.2708387348302495e-07,1.680504169598862e-06,2.2708276503635716e-07,1.0,6.528954372697626e-07
4,-0.04748395457863808,-0.3778989017009735,-0.12161333858966827,0.7597084641456604,-0.19656071066856384,1.2622591257095337,-0.014584040269255638,0.7235854864120483,-0.28551185131073,0.6262147426605225,-0.3851386308670044,-0.35074159502983093,-0.45432552695274353,-0.4326285123825073,-0.2015921026468277,0.0352364219725132,0.025333769619464874,-0.3487275242805481,0.03298785164952278,1.0027588605880737,-0.09510568529367447,1.1557390689849854,-0.0051053231582045555,0.723531186580658,0.0630364790558815,0.5672775506973267,0.22979500889778137,0.6108679175376892,-0.08269020915031433,-0.4993716776371002,-0.20192717015743256,-0.035583630204200745,0.4534148573875427,0.0171990767121315,-0.02909409999847412,1.0,-3.017961489604204e-07,1.6209802424782538e-06,3.017954099959752e-07,1.0,4.3879404643121234e-07
5,-0.059185806661844254,-0.3449542820453644,-0.1402827799320221,0.7435796856880188,-0.22734490036964417,1.2330117225646973,-0.028415875509381294,0.7236009240150452,-0.22361649572849274,0.6590278744697571,-0.3279601037502289,-0.24656566977500916,-0.4520277976989746,-0.4302605092525482,-0.19274717569351196,0.003520878031849861,0.027932042255997658,-0.3189169466495514,0.0455227755010128,1.034334659576416,-0.10187633335590363,1.1253794431686401,-0.02293408289551735,0.7235280275344849,0.08136467635631561,0.5690446496009827,0.22695070505142212,0.6096409559249878,-0.09430995583534241,-0.4994162619113922,-0.24960613250732422,-0.03183671459555626,0.4534148573875427,0.01719907857477665,-0.02909409999847412,1.0,-2.3694471451563004e-07,1.6582412172283512e-06,2.3694369133409054e-07,1.0,6.173614792714943e-07
6,-0.06722276657819748,-0.311376690864563,-0.15619181096553802,0.7314543724060059,-0.2582043707370758,1.2036254405975342,-0.04096180945634842,0.7236196398735046,-0.15120434761047363,0.6558423042297363,-0.26663070917129517,-0.1862921416759491,-0.4492621123790741,-0.4340095818042755,-0.17480064928531647,0.00010191230103373528,0.03126714751124382,-0.28900980949401855,0.057560089975595474,1.0658994913101196,-0.10851793736219406,1.0949914455413818,-0.04265531525015831,0.723521888256073,0.08989638090133667,0.5702208876609802,0.21511323750019073,0.6086084246635437,-0.09183422476053238,-0.49958980083465576,-0.27607443928718567,-0.024713972583413124,0.4534148573875427,0.017199065536260605,-0.02909409999847412,1.0,-3.163253268212429e-07,1.727525273054198e-06,3.163240194226091e-07,1.0,7.640039711986901e-07
7,-0.07144239544868469,-0.27802222967147827,-0.16922219097614288,0.722341775894165,-0.2890058159828186,1.174371600151062,-0.05251264199614525,0.7236405611038208,-0.07910504937171936,0.6489555239677429,-0.20625503361225128,-0.13030044734477997,-0.4462178945541382,-0.4354642331600189,-0.1609901636838913,-0.003630146849900484,0.03505029156804085,-0.25904080271720886,0.06895779073238373,1.09745192527771,-0.11461307108402252,1.0645979642868042,-0.0641152560710907,0.7235137224197388,0.09695546329021454,0.5706996321678162,0.20470596849918365,0.6073676943778992,-0.08364173769950867,-0.49933040142059326,-0.3004285395145416,-0.014672270976006985,0.4534148573875427,0.01719907857477665,-0.02909409999847412,1.0,-2.8691826514659624e-07,1.674438522059063e-06,2.869172988084756e-07,1.0,5.630067789752502e-07
8,-0.07180361449718475,-0.24494189023971558,-0.17944557964801788,0.7161930203437805,-0.31977060437202454,1.145293951034546,-0.06283608078956604,0.7236635684967041,-0.005573845002800226,0.6428131461143494,-0.14715026319026947,-0.07309705018997192,-0.44338104128837585,-0.43697646260261536,-0.1440148651599884,-0.01170303113758564,0.0394047275185585,-0.22903035581111908,0.07971297204494476,1.1289838552474976,-0.12038639187812805,1.0342071056365967,-0.0876634418964386,0.7235072255134583,0.10633452236652374,0.5709208846092224,0.1950366199016571,0.6061047315597534,-0.07903195172548294,-0.4989483654499054,-0.32968923449516296,-0.006624720524996519,0.4534148573875427,0.017199071124196053,-0.02909409999847412,1.0,-3.460368418473081e-07,1.7155481373265502e-06,3.46035648135512e-07,1.0,7.110992328307475e-07
9,-0.06822188198566437,-0.21211253106594086,-0.18686698377132416,0.7130182981491089,-0.3505311906337738,1.1163605451583862,-0.07154075801372528,0.7236871123313904,0.07071059942245483,0.636847198009491,-0.08772525936365128,-0.016552336513996124,-0.44138720631599426,-0.43889471888542175,-0.1214466467499733,-0.01418788731098175,0.044559210538864136,-0.1991751492023468,0.0897698700428009,1.1600465774536133,-0.12627358734607697,1.0036808252334595,-0.1137561947107315,0.723503053188324,0.11920138448476791,0.5658655166625977,0.18496498465538025,0.5919659733772278,-0.08062124997377396,-0.49864432215690613,-0.3653358817100525,-0.0013497741892933846,0.4534148573875427,0.0171990804374218,-0.02909409999847412,1.0,-2.224214199486596e-07,1.6544620393688092e-06,2.2242053887566726e-07,1.0,5.387839792092564e-07
