step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
0,0.37726807594299316,0.48703956604003906,0.07311196625232697,0.14553511142730713,-0.9876714944839478,0.05765852332115173,0.13528776168823242,-0.03786444664001465,-0.9900825619697571
1,0.39714503288269043,0.46619462966918945,0.07192359864711761,0.13415002822875977,-0.9889533519744873,0.06304747611284256,0.14840327203273773,-0.04285585880279541,-0.9879978895187378
2,0.4182436466217041,0.445249080657959,0.07258550822734833,0.12492930889129639,-0.989753007888794,0.06914878636598587,0.16565416753292084,-0.047908663749694824,-0.9850195646286011
3,0.4398458003997803,0.4230661392211914,0.07471075654029846,0.11610424518585205,-0.9902299642562866,0.0772298276424408,0.18654370307922363,-0.05463206768035889,-0.980926513671875
4,0.4595906734466553,0.39899778366088867,0.07610368728637695,0.10782384872436523,-0.9902558326721191,0.08813346177339554,0.2060520052909851,-0.06446576118469238,-0.9764152765274048
5,0.475996732711792,0.3732881546020508,0.07546308636665344,0.1008225679397583,-0.9896857738494873,0.10176882147789001,0.22121188044548035,-0.07742977142333984,-0.9721471071243286
6,0.4861595630645752,0.3456382751464844,0.07037079334259033,0.09467834234237671,-0.9885509014129639,0.11748707294464111,0.22601500153541565,-0.0935903787612915,-0.969617486000061
7,0.4899418354034424,0.31653928756713867,0.06082606315612793,0.08783125877380371,-0.9872610569000244,0.13267002999782562,0.21973031759262085,-0.1107027530670166,-0.9692592620849609
8,0.49236035346984863,0.28833723068237305,0.051310762763023376,0.07379788160324097,-0.9873758554458618,0.1401531845331192,0.211961567401886,-0.12179601192474365,-0.9696587324142456
9,0.4947841167449951,0.26155614852905273,0.04299646615982056,0.05001533031463623,-0.9890492558479309,0.13885338604450226,0.2071278989315033,-0.12573301792144775,-0.9702007174491882
10,0.49669337272644043,0.23458003997802734,0.0354677215218544,0.022180676460266113,-0.9904686212539673,0.13594099879264832,0.20449236035346985,-0.12860488891601562,-0.9703832864761353
11,0.49340081214904785,0.20781326293945312,0.02532465010881424,-0.007035970687866211,-0.991215705871582,0.13206756114959717,0.19529010355472565,-0.13088977336883545,-0.9719720482826233
12,0.47972607612609863,0.1808147430419922,0.010128684341907501,-0.026361465454101562,-0.9905516505241394,0.13458292186260223,0.1658892184495926,-0.13709783554077148,-0.9765679836273193
