step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
0,0.11183172464370728,-0.13819575309753418,0.04641944169998169,0.6314957141876221,-0.7084818482398987,-0.31506630778312683,-0.5249665379524231,-0.09162163734436035,-0.8461771607398987
1,0.11347955465316772,-0.13316337764263153,0.0462082177400589,0.5917194485664368,-0.7337934374809265,-0.33378931879997253,-0.5444310307502747,-0.058388710021972656,-0.8367708921432495
2,0.11465734243392944,-0.12984994053840637,0.04558396339416504,0.5463953018188477,-0.7600806355476379,-0.3517521619796753,-0.5655940175056458,-0.025113344192504883,-0.8243014216423035
3,0.11556240916252136,-0.12802830338478088,0.04467259347438812,0.49559521675109863,-0.7867077589035034,-0.36807113885879517,-0.58731609582901,0.00866025686264038,-0.8093113303184509
4,0.11610966920852661,-0.12750862538814545,0.043487921357154846,0.4395603537559509,-0.8127436637878418,-0.38240599632263184,-0.6091039180755615,0.04318052530288696,-0.7919141054153442
5,0.11612662672996521,-0.12806321680545807,0.042060986161231995,0.3788521885871887,-0.8372049331665039,-0.3944095969200134,-0.6305570006370544,0.07843154668807983,-0.7721698880195618
6,0.115629643201828,-0.12940125167369843,0.0404929518699646,0.3140884041786194,-0.8592495322227478,-0.4037807881832123,-0.6510565280914307,0.11460942029953003,-0.7503266930580139
7,0.1147160530090332,-0.1312643140554428,0.03868088126182556,0.2453354001045227,-0.8784534931182861,-0.4100364148616791,-0.6697812080383301,0.15218967199325562,-0.7267952561378479
8,0.11352688074111938,-0.13347715139389038,0.0368180125951767,0.1733047366142273,-0.894098699092865,-0.41298049688339233,-0.6861308217048645,0.19121050834655762,-0.701899528503418
9,0.1118665337562561,-0.1360851228237152,0.035198844969272614,0.0986781120300293,-0.9055873155593872,-0.4125220775604248,-0.7003116011619568,0.23131775856018066,-0.6753190755844116
10,0.10968679189682007,-0.13904249668121338,0.034030161798000336,0.021985888481140137,-0.9124676585197449,-0.408557653427124,-0.7122278213500977,0.272489070892334,-0.6469011902809143
11,0.10721510648727417,-0.14210234582424164,0.033179327845573425,-0.05648660659790039,-0.9143967628479004,-0.4008587598800659,-0.7209692597389221,0.3151018023490906,-0.6171824336051941
12,0.10544711351394653,-0.14488689601421356,0.032793425023555756,-0.13537800312042236,-0.9107999205589294,-0.3900209069252014,-0.7248040437698364,0.35942548513412476,-0.5877689719200134
13,0.10443967580795288,-0.14745453000068665,0.03284931182861328,-0.21390759944915771,-0.901481568813324,-0.376263827085495,-0.7235422730445862,0.40499669313430786,-0.5589850544929504
14,0.10440140962600708,-0.14969274401664734,0.0332396924495697,-0.2912285327911377,-0.8862104415893555,-0.3603012263774872,-0.7169641852378845,0.45153939723968506,-0.5311068892478943
15,0.10520070791244507,-0.15124785900115967,0.03439392149448395,-0.366108775138855,-0.8648689985275269,-0.34346163272857666,-0.7054553031921387,0.49864745140075684,-0.5036700963973999
16,0.10698527097702026,-0.15219812095165253,0.03622899204492569,-0.43736863136291504,-0.8380558490753174,-0.32614558935165405,-0.6891317963600159,0.5453479886054993,-0.47717174887657166
17,0.10985797643661499,-0.152790829539299,0.038540616631507874,-0.5047367811203003,-0.806283175945282,-0.3084612488746643,-0.6681026220321655,0.591120183467865,-0.45190244913101196
18,0.11382633447647095,-0.15330825746059418,0.04113563895225525,-0.5681827068328857,-0.7699795365333557,-0.29034489393234253,-0.6425368785858154,0.6355487108230591,-0.42804694175720215
19,0.11833542585372925,-0.15381161868572235,0.043998971581459045,-0.6277318000793457,-0.7295594811439514,-0.27146974205970764,-0.6133158802986145,0.6782928705215454,-0.4046756327152252
20,0.1229759156703949,-0.1542946994304657,0.047076329588890076,-0.6830995082855225,-0.6856704354286194,-0.2514583468437195,-0.5812385678291321,0.7188839912414551,-0.38127100467681885
21,0.12810015678405762,-0.1549021601676941,0.05034154653549194,-0.7339811325073242,-0.6387664675712585,-0.23075775802135468,-0.5461024641990662,0.7570657134056091,-0.35864129662513733
22,0.13381227850914001,-0.15572543442249298,0.05377289652824402,-0.780279278755188,-0.5892141461372375,-0.2097407579421997,-0.5079941153526306,0.7926904559135437,-0.3370220959186554
23,0.14018264412879944,-0.15686284005641937,0.057287901639938354,-0.8218125104904175,-0.5375803709030151,-0.188763827085495,-0.467212438583374,0.8254601955413818,-0.3167460858821869
24,0.14786633849143982,-0.15867412090301514,0.060670822858810425,-0.8582972288131714,-0.4844636023044586,-0.16917730867862701,-0.423532634973526,0.8549373745918274,-0.29950326681137085
25,0.1568382978439331,-0.1610410213470459,0.06421305239200592,-0.8892785310745239,-0.4311855435371399,-0.15252143144607544,-0.37807101011276245,0.880687415599823,-0.2853979170322418
26,0.16673484444618225,-0.16377994418144226,0.06823340058326721,-0.91438889503479,-0.3797748386859894,-0.1402290016412735,-0.33277320861816406,0.9023551940917969,-0.27389243245124817
27,0.17724373936653137,-0.16679811477661133,0.07301706075668335,-0.9340791702270508,-0.3313468098640442,-0.133062943816185,-0.2888195216655731,0.9202422499656677,-0.2640784680843353
28,0.18796968460083008,-0.170102059841156,0.07824693620204926,-0.9494527578353882,-0.28592002391815186,-0.12957321107387543,-0.24665528535842896,0.9348303079605103,-0.2554475665092468
29,0.19852572679519653,-0.17364782094955444,0.08375552296638489,-0.9614797830581665,-0.24311396479606628,-0.12826748192310333,-0.2063826471567154,0.9466990828514099,-0.24731965363025665
30,0.20830410718917847,-0.1772616058588028,0.08936430513858795,-0.971091628074646,-0.20211376249790192,-0.12700936198234558,-0.16791807115077972,0.9565582275390625,-0.2383272796869278
31,0.21629831194877625,-0.18017087876796722,0.09515084326267242,-0.9784129858016968,-0.1648743897676468,-0.12459757924079895,-0.1336742788553238,0.9647085070610046,-0.22686704993247986
32,0.22249212861061096,-0.18209236860275269,0.10111188888549805,-0.9837915897369385,-0.13234379887580872,-0.12099231034517288,-0.10447393357753754,0.971430778503418,-0.21309012174606323
33,0.22724777460098267,-0.1832478791475296,0.10712794959545135,-0.9878391027450562,-0.10354647040367126,-0.1159839928150177,-0.079220712184906,0.977080762386322,-0.19757859408855438
34,0.23136237263679504,-0.1841745674610138,0.11299890279769897,-0.9910928010940552,-0.076121985912323,-0.1092727929353714,-0.055417243391275406,0.9818550944328308,-0.18135462701320648
35,0.23535186052322388,-0.18513989448547363,0.11873269081115723,-0.9936771392822266,-0.048873744904994965,-0.10108008235692978,-0.031709522008895874,0.9857963919639587,-0.16492405533790588
36,0.23932397365570068,-0.18615129590034485,0.12431579828262329,-0.9955822229385376,-0.021510912105441093,-0.09139533340930939,-0.007757813669741154,0.9889200329780579,-0.1482464075088501
37,0.2432824969291687,-0.18711800873279572,0.12970183789730072,-0.9967409372329712,0.0053818137384951115,-0.08048940449953079,0.015971019864082336,0.9911871552467346,-0.13150280714035034
38,0.24718934297561646,-0.18798083066940308,0.13493712246418,-0.9971590042114258,0.03166517987847328,-0.06834825128316879,0.03937101364135742,0.9926408529281616,-0.11451655626296997
39,0.2511413097381592,-0.1888144165277481,0.14004220068454742,-0.9968286752700806,0.05684351176023483,-0.055690035223960876,0.062104128301143646,0.9932665824890137,-0.09779869019985199
40,0.2552354633808136,-0.1896805614233017,0.14506977796554565,-0.9958076477050781,0.08066628873348236,-0.04312759265303612,0.08398547768592834,0.9931138753890991,-0.08167789876461029
41,0.2595309019088745,-0.19064760208129883,0.14996816217899323,-0.994168758392334,0.10337084531784058,-0.03070841357111931,0.10521788895130157,0.9922365546226501,-0.06630122661590576
