step,agent/xarm7_ball_ee-0/qpos_0,agent/xarm7_ball_ee-0/qpos_1,agent/xarm7_ball_ee-0/qpos_2,agent/xarm7_ball_ee-0/qpos_3,agent/xarm7_ball_ee-0/qpos_4,agent/xarm7_ball_ee-0/qpos_5,agent/xarm7_ball_ee-0/qpos_6,agent/xarm7_ball_ee-0/qpos_7,agent/xarm7_ball_ee-0/qvel_0,agent/xarm7_ball_ee-0/qvel_1,agent/xarm7_ball_ee-0/qvel_2,agent/xarm7_ball_ee-0/qvel_3,agent/xarm7_ball_ee-0/qvel_4,agent/xarm7_ball_ee-0/qvel_5,agent/xarm7_ball_ee-0/qvel_6,agent/xarm7_ball_ee-0/qvel_7,agent/xarm7_ball_ee-1/qpos_0,agent/xarm7_ball_ee-1/qpos_1,agent/xarm7_ball_ee-1/qpos_2,agent/xarm7_ball_ee-1/qpos_3,agent/xarm7_ball_ee-1/qpos_4,agent/xarm7_ball_ee-1/qpos_5,agent/xarm7_ball_ee-1/qpos_6,agent/xarm7_ball_ee-1/qpos_7,agent/xarm7_ball_ee-1/qvel_0,agent/xarm7_ball_ee-1/qvel_1,agent/xarm7_ball_ee-1/qvel_2,agent/xarm7_ball_ee-1/qvel_3,agent/xarm7_ball_ee-1/qvel_4,agent/xarm7_ball_ee-1/qvel_5,agent/xarm7_ball_ee-1/qvel_6,agent/xarm7_ball_ee-1/qvel_7,extra/left_tcp_pose_6d_from_bimanual_center_0,extra/left_tcp_pose_6d_from_bimanual_center_1,extra/left_tcp_pose_6d_from_bimanual_center_2,extra/left_tcp_pose_6d_from_bimanual_center_3,extra/left_tcp_pose_6d_from_bimanual_center_4,extra/left_tcp_pose_6d_from_bimanual_center_5,extra/left_tcp_pose_6d_from_bimanual_center_6,extra/left_tcp_pose_6d_from_bimanual_center_7,extra/left_tcp_pose_6d_from_bimanual_center_8,extra/right_tcp_pose_6d_from_bimanual_center_0,extra/right_tcp_pose_6d_from_bimanual_center_1,extra/right_tcp_pose_6d_from_bimanual_center_2,extra/right_tcp_pose_6d_from_bimanual_center_3,extra/right_tcp_pose_6d_from_bimanual_center_4,extra/right_tcp_pose_6d_from_bimanual_center_5,extra/right_tcp_pose_6d_from_bimanual_center_6,extra/right_tcp_pose_6d_from_bimanual_center_7,extra/right_tcp_pose_6d_from_bimanual_center_8,extra/box_pose_6d_from_bimanual_center_0,extra/box_pose_6d_from_bimanual_center_1,extra/box_pose_6d_from_bimanual_center_2,extra/box_pose_6d_from_bimanual_center_3,extra/box_pose_6d_from_bimanual_center_4,extra/box_pose_6d_from_bimanual_center_5,extra/box_pose_6d_from_bimanual_center_6,extra/box_pose_6d_from_bimanual_center_7,extra/box_pose_6d_from_bimanual_center_8,extra/pushpoint_left_from_bimanual_center_0,extra/pushpoint_left_from_bimanual_center_1,extra/pushpoint_left_from_bimanual_center_2,extra/pushpoint_right_from_bimanual_center_0,extra/pushpoint_right_from_bimanual_center_1,extra/pushpoint_right_from_bimanual_center_2
0,-0.08691234141588211,-0.8284981846809387,-0.34385886788368225,0.8027503490447998,0.007909833453595638,0.9609059691429138,0.1385107785463333,0.7309998869895935,-0.03599207103252411,-0.1363154947757721,0.4438958466053009,-0.4036399722099304,0.2936072051525116,0.314834326505661,-0.06172775477170944,-0.011616738513112068,0.29422691464424133,-0.5674662590026855,0.1496056318283081,1.2316097021102905,-0.11913128197193146,1.295881986618042,0.0665924921631813,0.7309311628341675,0.261925607919693,0.4519134759902954,-0.16654972732067108,-0.5305454134941101,-0.028677169233560562,0.3711755871772766,-0.2787010669708252,0.07664351910352707,0.4215829372406006,0.16945557296276093,0.34142234921455383,-0.4031541347503662,-0.8522534370422363,-0.3333630859851837,0.6317274570465088,0.004379332065582275,-0.7751783132553101,0.42208075523376465,-0.17203333973884583,0.40810343623161316,0.3240531086921692,-0.931847095489502,0.16325025260448456,0.5098230242729187,0.026652753353118896,-0.8598664999008179,0.3295552730560303,-0.017113247886300087,-0.03100002557039261,-0.5616053342819214,0.8274054527282715,-7.942307433950191e-07,-0.8274054527282715,-0.5616053342819214,6.004251673630279e-08,0.29633069038391113,-0.1707974672317505,-0.030999932438135147,0.3627798557281494,0.13657096028327942,-0.03100011870265007
1,-0.09321847558021545,-0.8372485041618347,-0.3175629675388336,0.7779184579849243,0.025162924081087112,0.9818980097770691,0.13407714664936066,0.7310064435005188,-0.06837189197540283,-0.10268209874629974,0.39120039343833923,-0.3907904624938965,0.24318398535251617,0.3049332797527313,-0.06203437224030495,-0.005912375636398792,0.3110675513744354,-0.5447458028793335,0.13621748983860016,1.2011750936508179,-0.12340465933084488,1.3191617727279663,0.04797466844320297,0.7309222221374512,0.2111872434616089,0.4153127670288086,-0.20536178350448608,-0.5069732666015625,-0.061518874019384384,0.3416369557380676,-0.260759174823761,0.07458826899528503,0.416607141494751,0.1877560019493103,0.32792869210243225,-0.390170693397522,-0.8604056239128113,-0.32782450318336487,0.6080353260040283,0.02659153938293457,-0.7934644818305969,0.4149901866912842,-0.17783698439598083,0.37624800205230713,0.34899187088012695,-0.9213581085205078,0.1711839884519577,0.44781726598739624,0.0035011768341064453,-0.8941183090209961,0.3295552730560303,-0.01711316406726837,-0.03100001811981201,-0.5616053342819214,0.8274052739143372,-7.139640842979134e-07,-0.8274052739143372,-0.5616053342819214,7.048143402244023e-07,0.2963307201862335,-0.17079736292362213,-0.030999861657619476,0.362779825925827,0.1365710347890854,-0.031000174582004547
2,-0.10368380695581436,-0.8470266461372375,-0.2919725477695465,0.7522351145744324,0.041408978402614594,1.0035127401351929,0.12960627675056458,0.731019139289856,-0.13388946652412415,-0.12952589988708496,0.378978967666626,-0.39993980526924133,0.22907759249210358,0.3137368857860565,-0.06261783093214035,-0.007363650016486645,0.3257806599140167,-0.5235534310340881,0.11955127865076065,1.1711223125457764,-0.12862850725650787,1.3402913808822632,0.029142044484615326,0.7309229373931885,0.1721847504377365,0.39389297366142273,-0.26025283336639404,-0.5023003816604614,-0.07602296769618988,0.3115589916706085,-0.26380619406700134,0.07794344425201416,0.4097940921783447,0.2035551369190216,0.3139764368534088,-0.38149869441986084,-0.8666039109230042,-0.32164648175239563,0.5824828147888184,0.0448116660118103,-0.8116068840026855,0.4073188304901123,-0.18617309629917145,0.3468896448612213,0.3705374598503113,-0.9119384288787842,0.17626814544200897,0.38699695467948914,-0.020938754081726074,-0.9218432903289795,0.3295552730560303,-0.01711328513920307,-0.03100006654858589,-0.5616053342819214,0.8274053335189819,-4.930154204885184e-07,-0.8274053335189819,-0.5616053342819214,-8.087499026032674e-08,0.2963307201862335,-0.17079748213291168,-0.03100002184510231,0.362779825925827,0.13657091557979584,-0.031000111252069473
3,-0.11818011850118637,-0.8584190607070923,-0.26688152551651,0.7260414958000183,0.056852102279663086,1.0257227420806885,0.12475991249084473,0.7310368418693542,-0.19586819410324097,-0.1558324694633484,0.3677876889705658,-0.40544408559799194,0.2174733728170395,0.3217848241329193,-0.06784691661596298,-0.006637864746153355,0.3388994634151459,-0.5036645531654358,0.10053594410419464,1.1412171125411987,-0.13496708869934082,1.3590527772903442,0.009779580868780613,0.7309197783470154,0.14930516481399536,0.36905649304389954,-0.29331040382385254,-0.49638500809669495,-0.091843381524086,0.27756500244140625,-0.2712862491607666,0.08494285494089127,0.40145373344421387,0.21700145304203033,0.30009064078330994,-0.37649083137512207,-0.871256411075592,-0.3149079382419586,0.5561504364013672,0.05929553508758545,-0.8289636969566345,0.39914536476135254,-0.1962607055902481,0.31973952054977417,0.39002686738967896,-0.9031696319580078,0.1793423444032669,0.3276883363723755,-0.0458751916885376,-0.9436715245246887,0.3295552730560303,-0.017113247886300087,-0.03100002557039261,-0.5616052150726318,0.8274053931236267,-7.803953963048116e-07,-0.8274053931236267,-0.5616052150726318,9.917762611166836e-08,0.29633069038391113,-0.1707974374294281,-0.03099992871284485,0.3627798557281494,0.13657093048095703,-0.03100012242794037
4,-0.13684827089309692,-0.8711268305778503,-0.24153484404087067,0.6989895701408386,0.0748613104224205,1.0480573177337646,0.12131097167730331,0.7310367226600647,-0.25606802105903625,-0.17429812252521515,0.3710422217845917,-0.4192352592945099,0.25298258662223816,0.3239193856716156,-0.04830386862158775,-0.00431878911331296,0.3495529890060425,-0.484649121761322,0.08033310621976852,1.1117477416992188,-0.14204412698745728,1.3770135641098022,-0.009255253709852695,0.7309165000915527,0.10872241109609604,0.3554448187351227,-0.3140864074230194,-0.4901563823223114,-0.10303529351949692,0.26648035645484924,-0.266745388507843,0.09124211221933365,0.39217400550842285,0.22919383645057678,0.2863506078720093,-0.37611377239227295,-0.8728408217430115,-0.3109460473060608,0.5298768281936646,0.07268363237380981,-0.844954252243042,0.39016222953796387,-0.20794209837913513,0.29438406229019165,0.40678542852401733,-0.8955336809158325,0.18040280044078827,0.26869481801986694,-0.07145309448242188,-0.9605715274810791,0.3295552730560303,-0.01711331121623516,-0.03100006654858589,-0.5616053342819214,0.8274052739143372,-2.5883403509396885e-07,-0.8274052739143372,-0.5616053342819214,2.969284764731128e-07,0.2963307201862335,-0.17079751193523407,-0.031000003218650818,0.362779825925827,0.13657088577747345,-0.031000129878520966
5,-0.15896297991275787,-0.8846397399902344,-0.2152993083000183,0.6709603071212769,0.09696406126022339,1.0703030824661255,0.12091106921434402,0.7310261726379395,-0.3043575882911682,-0.18414367735385895,0.3846556544303894,-0.435152143239975,0.31127870082855225,0.32302936911582947,-0.005546106491237879,-0.0003083230694755912,0.35579994320869446,-0.46603676676750183,0.05962153151631355,1.0830388069152832,-0.1508178412914276,1.3959221839904785,-0.026966635137796402,0.7309200167655945,0.0339132621884346,0.34694793820381165,-0.33016401529312134,-0.4787133038043976,-0.1286819726228714,0.2801469564437866,-0.24824583530426025,0.0895506888628006,0.3824036121368408,0.24106436967849731,0.2726690173149109,-0.3810105323791504,-0.8706432580947876,-0.3111451268196106,0.5037466287612915,0.08670943975448608,-0.8594887256622314,0.38025546073913574,-0.22212541103363037,0.27061688899993896,0.418590784072876,-0.8900401592254639,0.18058323860168457,0.20878854393959045,-0.09920382499694824,-0.9729161262512207,0.3295552730560303,-0.017113184556365013,-0.031000033020973206,-0.5616052150726318,0.8274053335189819,-5.245925080998859e-07,-0.8274053335189819,-0.5616052150726318,7.439314941848352e-08,0.29633069038391113,-0.17079736292362213,-0.030999965965747833,0.3627798557281494,0.136571004986763,-0.031000100076198578
6,-0.18334750831127167,-0.8997647762298584,-0.1883806586265564,0.6421650052070618,0.12177401781082153,1.0935736894607544,0.12284427881240845,0.731019914150238,-0.3381008207798004,-0.211903914809227,0.39349645376205444,-0.4444178342819214,0.34835243225097656,0.3374435305595398,0.027045339345932007,-0.0014252595137804747,0.35646384954452515,-0.44774922728538513,0.038179993629455566,1.055516004562378,-0.1614512950181961,1.4162514209747314,-0.04357441887259483,0.7309175729751587,-0.059786226600408554,0.3365629017353058,-0.35048073530197144,-0.45896607637405396,-0.15672756731510162,0.3000745177268982,-0.23286505043506622,0.0960584431886673,0.3719804286956787,0.2528224587440491,0.25912123918533325,-0.3898988962173462,-0.865732729434967,-0.31382402777671814,0.4774590730667114,0.1013493537902832,-0.8727892637252808,0.36946702003479004,-0.239206001162529,0.24865543842315674,0.42438822984695435,-0.8873743414878845,0.18017035722732544,0.14759331941604614,-0.12852442264556885,-0.9806617498397827,0.3295552730560303,-0.01711331121623516,-0.03100006654858589,-0.5616053342819214,0.8274053335189819,1.679538641496947e-08,-0.8274053335189819,-0.5616053342819214,6.053072638678714e-07,0.2963307201862335,-0.17079751193523407,-0.03099999949336052,0.362779825925827,0.13657088577747345,-0.031000133603811264
7,-0.21004927158355713,-0.9168135523796082,-0.1606934368610382,0.6127240657806396,0.1489962935447693,1.1184930801391602,0.12667964398860931,0.7310158014297485,-0.37261927127838135,-0.24103327095508575,0.4037812650203705,-0.4540940523147583,0.3820589780807495,0.3608296513557434,0.05373009294271469,0.0012257633497938514,0.3503657281398773,-0.42999351024627686,0.01577412709593773,1.0308305025100708,-0.1744370460510254,1.43925142288208,-0.05962647870182991,0.7309107780456543,-0.17468410730361938,0.3159556984901428,-0.37618300318717957,-0.40986499190330505,-0.19233156740665436,0.33689528703689575,-0.22519738972187042,0.10938137769699097,0.36084914207458496,0.2644936442375183,0.24574080109596252,-0.40255260467529297,-0.8583210706710815,-0.31817686557769775,0.4509202539920807,0.11655592918395996,-0.8849213123321533,0.35787224769592285,-0.25955575704574585,0.22931110858917236,0.423164963722229,-0.8880307674407959,0.17981351912021637,0.08532718569040298,-0.15851736068725586,-0.9836623072624207,0.3295552730560303,-0.017113281413912773,-0.03100006654858589,-0.5616052150726318,0.8274053931236267,-4.6787300789219444e-07,-0.8274053931236267,-0.5616052150726318,1.991690652403122e-07,0.29633069038391113,-0.1707974672317505,-0.030999992042779922,0.3627798557281494,0.13657090067863464,-0.03100014105439186
8,-0.23786085844039917,-0.9330370426177979,-0.13290010392665863,0.5831511616706848,0.17721156775951385,1.1432828903198242,0.13280294835567474,0.731020987033844,-0.3877888321876526,-0.2181399017572403,0.40467849373817444,-0.4615090787410736,0.3957656919956207,0.3594304025173187,0.08580267429351807,-0.031272582709789276,0.33886340260505676,-0.41092178225517273,-0.006316906772553921,1.0100855827331543,-0.18901844322681427,1.464660882949829,-0.07245075702667236,0.7308996915817261,-0.24776241183280945,0.34007251262664795,-0.367443323135376,-0.3538960814476013,-0.21403150260448456,0.36984774470329285,-0.18011605739593506,0.1266712099313736,0.3495767116546631,0.2756849229335785,0.23209092020988464,-0.4193767309188843,-0.8484560251235962,-0.3228711485862732,0.42345157265663147,0.13176727294921875,-0.8962846994400024,0.3453834056854248,-0.2815822958946228,0.21246349811553955,0.4147246479988098,-0.8920590281486511,0.17953906953334808,0.0215266402810812,-0.18763375282287598,-0.9820032119750977,0.3295552730560303,-0.01711328513920307,-0.03100006654858589,-0.5616053342819214,0.8274053335189819,-4.790480829797161e-07,-0.8274053335189819,-0.5616053342819214,-3.2395455207279156e-08,0.2963307201862335,-0.17079748213291168,-0.03100001811981201,0.362779825925827,0.13657091557979584,-0.03100011497735977
9,-0.26611950993537903,-0.9479387402534485,-0.10525327920913696,0.5533880591392517,0.20593978464603424,1.167314052581787,0.14233309030532837,0.7310154438018799,-0.3950074017047882,-0.19731788337230682,0.40177446603775024,-0.46520254015922546,0.40263909101486206,0.348703533411026,0.1334671676158905,-0.023038631305098534,0.3225098252296448,-0.38884103298187256,-0.027494104579091072,0.9929016828536987,-0.20329774916172028,1.4915075302124023,-0.07918146252632141,0.7308760285377502,-0.3232901692390442,0.38946211338043213,-0.35709014534950256,-0.3055192232131958,-0.20978666841983795,0.3896926939487457,-0.09476839751005173,0.1560564488172531,0.3383200168609619,0.2863953113555908,0.21812081336975098,-0.44099628925323486,-0.8355530500411987,-0.3276790678501129,0.39510518312454224,0.14708161354064941,-0.9067850112915039,0.33174777030944824,-0.3040027618408203,0.19740062952041626,0.39733779430389404,-0.900104820728302,0.1787010282278061,-0.04523992910981178,-0.21370935440063477,-0.9758492708206177,0.3295552730560303,-0.017113182693719864,-0.031000033020973206,-0.5616052150726318,0.8274053335189819,-3.255473188801261e-07,-0.8274053335189819,-0.5616052150726318,1.0866212818427812e-07,0.29633069038391113,-0.17079736292362213,-0.030999984592199326,0.3627798557281494,0.136571004986763,-0.031000081449747086
