step,penalty_forward_rotation_stage1_0
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-4.521122536971234e-05
5,-0.0
6,-0.0
7,-2.260561268485617e-05
8,-0.0
9,-0.0
10,-4.521122536971234e-05
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-4.521122536971234e-05
18,-0.0
19,-0.0
20,-4.521122536971234e-05
21,-0.0
22,-0.0
23,-0.0
24,-2.260561268485617e-05
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-2.260561268485617e-05
38,-0.0
39,-0.0
40,-0.0
41,-2.260561268485617e-05
42,-0.0
43,-4.521122536971234e-05
44,-0.0
45,-0.0
46,-2.260561268485617e-05
47,-0.0
48,-0.0
49,-4.521122536971234e-05
50,-0.0
51,-0.0
52,-2.260561268485617e-05
53,-0.0
54,-0.0
55,-2.260561268485617e-05
56,-0.0
57,-4.521122536971234e-05
58,-0.0
59,-0.0
60,-0.0
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-0.0
66,-0.0
67,-2.260561268485617e-05
68,-0.0
69,-0.0
70,-0.0
71,-2.260561268485617e-05
72,-0.0
73,-0.0
74,-2.260561268485617e-05
75,-0.0
76,-0.0
77,-0.0
78,-0.0
79,-0.0
80,-0.0
81,-0.0
82,-0.0
83,-0.0
84,-0.0
85,-0.0
86,-0.0
87,-2.260561268485617e-05
88,-0.0
89,-4.521122536971234e-05
90,-0.0
91,-2.260561268485617e-05
92,-0.0
93,-0.0
94,-0.0
95,-2.260561268485617e-05
96,-0.0
97,-0.0
98,-2.260561268485617e-05
99,-0.0
100,-2.260561268485617e-05
101,-0.0
102,-0.0
103,-0.0
104,-2.260561268485617e-05
105,-0.0
106,-2.260561268485617e-05
107,-0.0
108,-0.0
109,-4.521122536971234e-05
110,-0.0
111,-2.260561268485617e-05
112,-0.0
113,-0.0
114,-2.260561268485617e-05
115,-0.0
116,-0.0
117,-0.0
118,-0.0
119,-4.521122536971234e-05
120,-0.0
121,-2.260561268485617e-05
122,-0.0
123,-0.0
124,-2.260561268485617e-05
125,-0.0
126,-0.0
127,-2.260561268485617e-05
128,-0.0
129,-2.260561268485617e-05
130,-0.0
131,-4.521122536971234e-05
132,-0.0
133,-2.260561268485617e-05
134,-0.0
135,-2.260561268485617e-05
136,-0.0
137,-2.260561268485617e-05
138,-0.0
139,-0.0
140,-4.521122536971234e-05
141,-0.0
142,-0.0
143,-4.521122536971234e-05
144,-0.0
145,-2.260561268485617e-05
146,-0.0
147,-2.260561268485617e-05
148,-0.0
149,-2.260561268485617e-05
150,-4.521122536971234e-05
151,-0.0
152,-0.0
153,-0.0
154,-0.0
155,-0.0
156,-0.0
157,-0.0
158,-0.0
159,-2.260561268485617e-05
160,-0.0
161,-0.0
162,-0.0
163,-0.0
164,-0.0
165,-0.0
166,-0.0
167,-0.0
168,-0.0
169,-2.260561268485617e-05
170,-0.0
171,-0.0
172,-0.0
173,-2.260561268485617e-05
174,-0.0
175,-0.0
176,-0.0
177,-2.260561268485617e-05
178,-0.0
179,-0.0
180,-0.0
181,-0.0
182,-2.260561268485617e-05
183,-0.0
184,-0.0
185,-0.0
186,-0.0
187,-4.521122536971234e-05
188,-0.0
189,-0.0
190,-0.0
191,-0.0
192,-0.0
193,-0.0
194,-4.521122536971234e-05
195,-2.260561268485617e-05
196,-0.0
197,-2.260561268485617e-05
198,-0.0
