step,box_rotation_delta_0
0,-134.155517578125
1,-6.103515625e-05
2,3.0517578125e-05
3,3.0517578125e-05
4,0.0
5,0.0
6,-3.0517578125e-05
7,0.0
8,3.0517578125e-05
9,-3.0517578125e-05
10,0.0
11,-3.0517578125e-05
12,3.0517578125e-05
13,3.0517578125e-05
14,-3.0517578125e-05
15,0.0
16,0.0
17,3.0517578125e-05
18,-3.0517578125e-05
19,0.0
20,-3.0517578125e-05
21,3.0517578125e-05
22,3.0517578125e-05
23,-3.0517578125e-05
24,0.0
25,3.0517578125e-05
26,-3.0517578125e-05
27,0.0
28,3.0517578125e-05
29,-6.103515625e-05
30,3.0517578125e-05
31,0.0
32,3.0517578125e-05
33,-3.0517578125e-05
34,0.0
35,0.0
36,3.0517578125e-05
37,3.0517578125e-05
38,-6.103515625e-05
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,3.0517578125e-05
45,-3.0517578125e-05
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,3.0517578125e-05
52,-3.0517578125e-05
53,0.0
54,0.0
55,0.0
56,3.0517578125e-05
57,3.0517578125e-05
58,-6.103515625e-05
59,-3.0517578125e-05
60,3.0517578125e-05
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,3.0517578125e-05
77,-3.0517578125e-05
78,1.064300537109375
79,2.086517333984375
80,3.363983154296875
81,5.403656005859375
82,3.412628173828125
83,2.03314208984375
84,0.98046875
85,0.006439208984375
86,6.103515625e-05
87,-9.1552734375e-05
88,3.0517578125e-05
89,9.1552734375e-05
90,-9.1552734375e-05
91,3.0517578125e-05
92,-3.0517578125e-05
93,3.0517578125e-05
94,-3.0517578125e-05
95,-3.0517578125e-05
96,3.0517578125e-05
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,3.0517578125e-05
105,-3.0517578125e-05
106,0.0
107,6.103515625e-05
108,-6.103515625e-05
109,-3.0517578125e-05
110,3.0517578125e-05
111,3.0517578125e-05
112,0.0
113,-3.0517578125e-05
114,3.0517578125e-05
115,6.103515625e-05
116,-9.1552734375e-05
117,3.0517578125e-05
118,0.0
119,3.0517578125e-05
120,-6.103515625e-05
121,0.0
122,-3.0517578125e-05
123,6.103515625e-05
124,0.0
125,-3.0517578125e-05
126,0.0
127,3.0517578125e-05
128,0.0
129,3.0517578125e-05
130,-3.0517578125e-05
131,3.0517578125e-05
132,-3.0517578125e-05
133,-3.0517578125e-05
134,3.0517578125e-05
135,-3.0517578125e-05
136,9.1552734375e-05
137,-9.1552734375e-05
138,0.0
139,0.0
140,0.0
141,3.0517578125e-05
142,-6.103515625e-05
143,6.103515625e-05
144,0.0
145,-3.0517578125e-05
146,3.0517578125e-05
147,-3.0517578125e-05
148,3.0517578125e-05
149,6.103515625e-05
150,-9.1552734375e-05
151,3.0517578125e-05
152,6.103515625e-05
153,-9.1552734375e-05
154,6.103515625e-05
155,-3.0517578125e-05
156,0.0
157,3.0517578125e-05
158,-9.1552734375e-05
159,3.0517578125e-05
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,-3.0517578125e-05
170,9.1552734375e-05
171,-6.103515625e-05
172,0.0
173,0.0
174,0.0
175,3.0517578125e-05
176,0.0
177,3.0517578125e-05
178,-9.1552734375e-05
179,3.0517578125e-05
180,9.1552734375e-05
181,-6.103515625e-05
182,-3.0517578125e-05
183,3.0517578125e-05
184,0.0
185,-3.0517578125e-05
186,3.0517578125e-05
187,3.0517578125e-05
188,-9.1552734375e-05
189,3.0517578125e-05
190,6.103515625e-05
191,-3.0517578125e-05
192,0.0
193,3.0517578125e-05
194,-6.103515625e-05
195,-3.0517578125e-05
196,9.1552734375e-05
197,3.0517578125e-05
198,-9.1552734375e-05
