step,rewards_0
0,-2.214411735534668
1,-0.08305685222148895
2,-0.0641808956861496
3,-0.053268954157829285
4,-0.04893174767494202
5,-0.047657743096351624
6,-0.049963176250457764
7,-0.04881371557712555
8,-0.043680861592292786
9,-0.029103117063641548
10,-0.0034786330070346594
11,0.02562965266406536
12,0.03744058310985565
13,0.04010103642940521
14,0.058576568961143494
15,0.08905138075351715
16,0.11133487522602081
17,0.12448255717754364
18,0.1212080866098404
19,0.10609234869480133
20,0.09326501190662384
21,0.06179332733154297
22,-0.6469503045082092
23,-0.77485591173172
24,-1.0907213687896729
25,-1.1396499872207642
26,-0.3205827474594116
27,0.07211371511220932
28,0.07121577858924866
29,0.04426053911447525
30,0.022808164358139038
31,-0.012254543602466583
32,-0.0277850404381752
33,0.0030704736709594727
34,-0.019058331847190857
35,-0.09207004308700562
36,-0.31780004501342773
37,0.020781807601451874
38,0.08066907525062561
39,-0.021871067583560944
40,-0.768836498260498
41,-0.8962271809577942
42,-0.3936859965324402
43,-0.544079065322876
44,-1.1034371852874756
45,-1.2834405899047852
46,-1.7884294986724854
47,-1.194995641708374
48,-1.328311562538147
49,-1.3006234169006348
50,-0.7498050928115845
51,-0.0912114828824997
52,-0.103659987449646
53,-0.11204802989959717
54,-0.11924287676811218
55,-0.13113588094711304
56,-0.1523093581199646
57,-0.17552199959754944
58,-0.19936603307724
59,-0.2189958095550537
60,-0.15334391593933105
61,0.0010359212756156921
62,-0.00828910619020462
63,-0.015972889959812164
64,-0.024185456335544586
65,-0.03158045560121536
66,-0.03707186132669449
67,-0.03981036692857742
68,-0.04216814786195755
69,-0.04573959857225418
70,-0.049926795065402985
71,-0.05433136969804764
72,-0.05857185274362564
73,-0.06368420273065567
74,-0.06923238188028336
75,-0.07411731034517288
76,-0.078186996281147
77,-0.08148036152124405
78,-0.08444759994745255
79,-0.08732432872056961
80,-0.08995256572961807
81,-0.09235713630914688
82,-0.09463391453027725
83,-0.09673250466585159
84,-0.09872666746377945
85,-0.10046092420816422
86,-0.10199100524187088
87,-0.10340578109025955
88,-0.10468978434801102
89,-0.10561267286539078
90,-0.10628382116556168
91,-0.10673505812883377
92,-0.10714221745729446
93,-0.10774347931146622
94,-0.10849539190530777
95,-0.10931522399187088
96,-0.11006361991167068
97,-0.11062569171190262
98,-0.1110193207859993
99,-0.11129496246576309
100,-0.11148882657289505
101,-0.11162612587213516
102,-0.11172304302453995
103,-0.11179036647081375
104,-0.1118360236287117
105,-0.11186537891626358
106,-0.11188516765832901
107,-0.11189920455217361
108,-0.11191079765558243
109,-0.11192048341035843
110,-0.1119285598397255
111,-0.1119350865483284
112,-0.11194030195474625
113,-0.11194375902414322
114,-0.11194629222154617
115,-0.11194775253534317
116,-0.11194867640733719
117,-0.11194900423288345
118,-0.11194945126771927
119,-0.11194942146539688
120,-0.11194974929094315
121,-0.11195019632577896
122,-0.1119512990117073
123,-0.11195284873247147
124,-0.11195460706949234
125,-0.11195630580186844
126,-0.11195842176675797
127,-0.11196041852235794
128,-0.11196262389421463
129,-0.11196423321962357
130,-0.11196581274271011
131,-0.11196721345186234
132,-0.11196885257959366
133,-0.11197004467248917
134,-0.11197132617235184
135,-0.11197225004434586
136,-0.11197314411401749
137,-0.11197379976511002
138,-0.11197454482316971
139,-0.11197490245103836
140,-0.11197537928819656
141,-0.11197558790445328
142,-0.11197588592767715
143,-0.36197590827941895
144,-0.3619762063026428
145,-0.36197611689567566
146,-0.3619762063026428
147,-0.36197611689567566
148,-0.36197611689567566
149,-0.36197593808174133
150,-0.36197593808174133
151,-0.36197564005851746
152,-0.3619755208492279
153,-0.3619751036167145
154,-0.3619748055934906
155,-0.3619743287563324
156,-0.3619740307331085
157,-0.3619733154773712
158,-0.36197274923324585
159,-0.36197200417518616
160,-0.36197125911712646
161,-0.36197036504745483
162,-0.36196964979171753
163,-0.3619687259197235
164,-0.36196818947792053
165,-0.36196738481521606
166,-0.36196696758270264
167,-0.36196619272232056
168,-0.3619656562805176
169,-0.3619648516178131
170,-0.3619641661643982
171,-0.3619632124900818
172,-0.36196231842041016
173,-0.361961305141449
174,-0.3619602620601654
175,-0.3619590103626251
176,-0.361957848072052
177,-0.36195626854896545
178,-0.3619547486305237
179,-0.36195287108421326
180,-0.36195096373558044
181,-0.36194881796836853
182,-0.36194682121276855
183,-0.3619445264339447
184,-0.36194223165512085
185,-0.36193978786468506
186,-0.3619374930858612
187,-0.3619351089000702
188,-0.36193299293518066
189,-0.36193081736564636
190,-0.3619294762611389
191,-0.36192911863327026
192,-0.36193007230758667
193,-0.3619319796562195
194,-0.3619351089000702
195,-0.36193838715553284
196,-0.36194097995758057
197,-0.36194175481796265
198,-0.3619410991668701
199,-0.36193954944610596
