step,obs/extra/pushpoint_right_from_bimanual_center_0,obs/extra/pushpoint_right_from_bimanual_center_1,obs/extra/pushpoint_right_from_bimanual_center_2
0,0.4693697690963745,0.08438307046890259,-0.031000204384326935
1,0.4693697690963745,0.08438307046890259,-0.031000200659036636
2,0.4693697690963745,0.08438306301832199,-0.031000196933746338
3,0.4693697690963745,0.08438306301832199,-0.03100019320845604
4,0.4693697690963745,0.08438306301832199,-0.03100018948316574
5,0.4693697690963745,0.08438307046890259,-0.031000211834907532
6,0.4693697690963745,0.08438306301832199,-0.031000208109617233
7,0.4693697690963745,0.08438307046890259,-0.031000204384326935
8,0.4693697690963745,0.08438306301832199,-0.031000200659036636
9,0.4693697690963745,0.08438307046890259,-0.031000196933746338
10,0.4693697690963745,0.08438306301832199,-0.03100019320845604
11,0.4693697690963745,0.08438307791948318,-0.03100021556019783
12,0.4693697690963745,0.08438306301832199,-0.031000208109617233
13,0.4693697690963745,0.08438307046890259,-0.031000208109617233
14,0.4693697690963745,0.0843830555677414,-0.031000200659036636
15,0.4693697690963745,0.08438307046890259,-0.031000196933746338
16,0.4693697690963745,0.08438307791948318,-0.03100019320845604
17,0.4693697690963745,0.08438308537006378,-0.03100018948316574
18,0.4693697690963745,0.08438307046890259,-0.031000211834907532
19,0.4693697690963745,0.08438306301832199,-0.031000208109617233
20,0.4693697690963745,0.08438307046890259,-0.031000204384326935
21,0.4693697690963745,0.08438307046890259,-0.031000200659036636
22,0.4693697690963745,0.08438307046890259,-0.03100019320845604
23,0.4693697690963745,0.0843830555677414,-0.03100018948316574
24,0.4693697690963745,0.08438308537006378,-0.031000185757875443
25,0.4693697690963745,0.08438307046890259,-0.031000208109617233
26,0.4693697690963745,0.08438307791948318,-0.031000208109617233
27,0.4693697690963745,0.08438306301832199,-0.031000200659036636
28,0.4693697690963745,0.08438307046890259,-0.031000196933746338
29,0.4693697690963745,0.08438306301832199,-0.03100019320845604
30,0.4693697690963745,0.08438307791948318,-0.03100018948316574
31,0.4693697690963745,0.08438306301832199,-0.031000211834907532
32,0.4693697690963745,0.08438307046890259,-0.031000208109617233
33,0.4693697690963745,0.08438307046890259,-0.031000204384326935
34,0.4693697690963745,0.08438307046890259,-0.031000200659036636
35,0.4693697690963745,0.08438307046890259,-0.03100019320845604
36,0.4693697690963745,0.0843830555677414,-0.03100019320845604
37,0.4693697690963745,0.08438307791948318,-0.031000185757875443
38,0.4693697690963745,0.08438307046890259,-0.031000208109617233
39,0.4693697690963745,0.08438307046890259,-0.031000208109617233
40,0.4693697690963745,0.08438306301832199,-0.031000200659036636
41,0.4693697690963745,0.08438307046890259,-0.031000196933746338
42,0.4693697690963745,0.08438306301832199,-0.03100019320845604
43,0.4693697690963745,0.08438307791948318,-0.03100018948316574
44,0.4693697690963745,0.08438306301832199,-0.031000211834907532
45,0.4693697690963745,0.08438306301832199,-0.031000208109617233
46,0.4693697690963745,0.08438307791948318,-0.031000204384326935
47,0.4693697690963745,0.08438306301832199,-0.031000200659036636
48,0.4693697690963745,0.08438307046890259,-0.03100019320845604
49,0.4693697690963745,0.0843830555677414,-0.03100018948316574
50,0.4693697690963745,0.08438308537006378,-0.03100021556019783
51,0.4693697690963745,0.0843830555677414,-0.031000208109617233
52,0.4693697690963745,0.08438307046890259,-0.031000208109617233
53,0.4693697690963745,0.08438306301832199,-0.031000204384326935
54,0.4693697690963745,0.08438306301832199,-0.031000196933746338
55,0.4693697690963745,0.08438306301832199,-0.03100018948316574
56,0.4693697690963745,0.08438307791948318,-0.03100018948316574
57,0.4693697690963745,0.08438306301832199,-0.031000211834907532
58,0.4693697690963745,0.08438307046890259,-0.031000208109617233
59,0.4693697690963745,0.08438306301832199,-0.031000204384326935
60,0.4693697690963745,0.0843830555677414,-0.031000196933746338
61,0.4693697690963745,0.08438306301832199,-0.03100019320845604
62,0.4693697690963745,0.08438306301832199,-0.03100018948316574
63,0.4693697690963745,0.08438307791948318,-0.031000211834907532
64,0.4693697690963745,0.08438307046890259,-0.031000208109617233
65,0.4693697690963745,0.08438307791948318,-0.031000204384326935
66,0.4693697690963745,0.08438307046890259,-0.031000200659036636
67,0.4693697690963745,0.08438306301832199,-0.03100019320845604
68,0.4693697690963745,0.08438307791948318,-0.03100019320845604
69,0.4693697690963745,0.08438308537006378,-0.03100018948316574
