step,penalty_inverse_rotation_0
0,-0.8733000159263611
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,-0.32384800910949707
21,-1.0210503339767456
22,-0.5597149729728699
23,-0.13029874861240387
24,0.0
25,0.0
26,0.0
27,0.0
28,-2.260561268485617e-05
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,-2.260561268485617e-05
36,0.0
37,0.0
38,-2.260561268485617e-05
39,0.0
40,0.0
41,0.0
42,0.0
43,-2.260561268485617e-05
44,0.0
45,0.0
46,-2.260561268485617e-05
47,0.0
48,0.0
49,-2.260561268485617e-05
50,0.0
51,0.0
52,-2.260561268485617e-05
53,0.0
54,0.0
55,-2.260561268485617e-05
56,0.0
57,-2.260561268485617e-05
58,0.0
59,0.0
60,0.0
61,-2.260561268485617e-05
62,0.0
63,-2.260561268485617e-05
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,-2.260561268485617e-05
70,0.0
71,0.0
72,0.0
73,0.0
74,-2.260561268485617e-05
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,-2.260561268485617e-05
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,-2.260561268485617e-05
92,0.0
93,0.0
94,-2.260561268485617e-05
95,0.0
96,-2.260561268485617e-05
97,0.0
98,0.0
99,-2.260561268485617e-05
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,-2.260561268485617e-05
107,0.0
108,0.0
109,0.0
110,0.0
111,-2.260561268485617e-05
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,-2.260561268485617e-05
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,-2.260561268485617e-05
125,0.0
126,0.0
127,0.0
128,-2.260561268485617e-05
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,-2.260561268485617e-05
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,-2.260561268485617e-05
141,0.0
142,-2.260561268485617e-05
143,0.0
144,0.0
145,0.0
146,0.0
147,-2.260561268485617e-05
148,0.0
149,-2.260561268485617e-05
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,-2.260561268485617e-05
157,0.0
158,-2.260561268485617e-05
159,0.0
160,0.0
161,0.0
162,0.0
163,-2.260561268485617e-05
164,0.0
165,0.0
166,0.0
167,0.0
168,-2.260561268485617e-05
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,-2.260561268485617e-05
184,0.0
185,0.0
186,0.0
187,-2.260561268485617e-05
188,0.0
189,0.0
190,0.0
191,-2.260561268485617e-05
192,0.0
193,-2.260561268485617e-05
194,0.0
195,-2.260561268485617e-05
196,0.0
197,0.0
198,0.0
