step,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14,next_obs_15,next_obs_16,next_obs_17,next_obs_18,next_obs_19,next_obs_20,next_obs_21,next_obs_22,next_obs_23,next_obs_24,next_obs_25,next_obs_26,next_obs_27,next_obs_28,next_obs_29,next_obs_30,next_obs_31,next_obs_32,next_obs_33,next_obs_34,next_obs_35,next_obs_36,next_obs_37,next_obs_38,next_obs_39,next_obs_40,next_obs_41,next_obs_42,next_obs_43,next_obs_44,next_obs_45,next_obs_46,next_obs_47,next_obs_48,next_obs_49,next_obs_50,next_obs_51,next_obs_52,next_obs_53,next_obs_54,next_obs_55,next_obs_56,next_obs_57,next_obs_58,next_obs_59,next_obs_60,next_obs_61,next_obs_62,next_obs_63,next_obs_64
0,0.12851612269878387,-0.3894772231578827,-0.15631705522537231,0.3841524124145508,0.20917145907878876,1.3620811700820923,0.30733612179756165,0.7307480573654175,-0.5284456014633179,0.43690451979637146,-0.4676077961921692,0.3813733458518982,-0.3915928900241852,-0.43973466753959656,-0.20137646794319153,0.3683798909187317,0.19024533033370972,-0.4935285151004791,0.14994531869888306,0.4175812304019928,-0.3587883412837982,1.5539088249206543,-0.14614185690879822,0.7311784625053406,0.0625576451420784,-0.4069749116897583,0.36454519629478455,0.5496834516525269,0.35032570362091064,-0.43646419048309326,0.41019153594970703,-0.03151485696434975,0.09409308433532715,0.41455695033073425,0.024403251707553864,-0.40700793266296387,-0.9131562113761902,-0.022142382338643074,-0.5391677618026733,0.25974178314208984,-0.8011444211006165,0.11807560920715332,-0.44113829731941223,0.08525824546813965,0.6016669869422913,-0.7584272623062134,0.2505694031715393,-0.407085120677948,-0.5610669851303101,-0.7207534909248352,0.33347201347351074,0.004304828587919474,-0.031000033020973206,0.5204274654388428,-0.8539059162139893,-2.1051920384707046e-07,0.8539059162139893,0.5204274654388428,2.2881852856926344e-08,0.3741801381111145,0.15617825090885162,-0.031000006943941116,0.292763888835907,-0.14756859838962555,-0.031000059098005295
1,0.09841981530189514,-0.35957783460617065,-0.18610811233520508,0.4090343415737152,0.1804429441690445,1.3320960998535156,0.3010769784450531,0.73079913854599,-0.49620169401168823,0.42929506301879883,-0.4528949558734894,0.37869322299957275,-0.41574448347091675,-0.4301302433013916,-0.08898913115262985,0.3053463101387024,0.17275699973106384,-0.4911908805370331,0.1725744605064392,0.44906821846961975,-0.3343348205089569,1.5242125988006592,-0.11769377440214157,0.7309719324111938,-0.25895729660987854,0.08292929083108902,0.30990779399871826,0.4448368549346924,0.3424503207206726,-0.420369416475296,0.3978782594203949,0.04926722124218941,0.11311984062194824,0.39879828691482544,0.01938663423061371,-0.4422423839569092,-0.8967093825340271,-0.0182742178440094,-0.5086899399757385,0.26755428314208984,-0.8183209896087646,0.13746380805969238,-0.42660969495773315,0.08411316573619843,0.5690147876739502,-0.7761757969856262,0.27161264419555664,-0.3713870942592621,-0.5372543334960938,-0.7572513222694397,0.33347201347351074,0.004304901696741581,-0.031000033020973206,0.5204273462295532,-0.853905975818634,-2.3387303826893913e-07,0.853905975818634,0.5204273462295532,1.6345583730981161e-07,0.3741801381111145,0.1561783254146576,-0.030999988317489624,0.292763888835907,-0.14756852388381958,-0.031000077724456787
2,0.06851710379123688,-0.32957980036735535,-0.215715691447258,0.43457022309303284,0.15163706243038177,1.3021912574768066,0.28632301092147827,0.7308530807495117,-0.5101910829544067,0.4300512969493866,-0.45599478483200073,0.3912973999977112,-0.4166475236415863,-0.42997145652770996,-0.2074224352836609,0.2091154009103775,0.16116051375865936,-0.4862784445285797,0.18107154965400696,0.47869613766670227,-0.30960172414779663,1.4945290088653564,-0.08862420916557312,0.7308777570724487,-0.15631996095180511,0.042188096791505814,0.11854870617389679,0.47302454710006714,0.3432784676551819,-0.4282931685447693,0.40527448058128357,0.17205695807933807,0.1311485767364502,0.38073447346687317,0.014399677515029907,-0.4700894355773926,-0.8824453353881836,-0.017501626163721085,-0.4781608283519745,0.2712891101837158,-0.8353229761123657,0.15507864952087402,-0.4118059277534485,0.08259321749210358,0.530358076095581,-0.7995837926864624,0.2817554175853729,-0.34139496088027954,-0.5056416988372803,-0.792323112487793,0.33347201347351074,0.004304814152419567,-0.03100002184510231,0.5204275250434875,-0.8539058566093445,-7.711889793426963e-07,0.8539058566093445,0.5204275250434875,6.10760935160215e-07,0.3741801083087921,0.15617823600769043,-0.030999869108200073,0.29276391863822937,-0.14756861329078674,-0.031000174582004547
3,0.0386253222823143,-0.29945188760757446,-0.24549630284309387,0.4625486731529236,0.12373381108045578,1.2723370790481567,0.261527419090271,0.7308799624443054,-0.5235313177108765,0.4275175631046295,-0.4612187445163727,0.43450927734375,-0.40372443199157715,-0.4308912754058838,-0.34780970215797424,0.1805504560470581,0.1524636298418045,-0.48418959975242615,0.18700850009918213,0.5082944631576538,-0.2876768410205841,1.4647647142410278,-0.05906986817717552,0.7308960556983948,-0.10755983740091324,-0.0022201533429324627,0.08942955732345581,0.47364214062690735,0.3045174181461334,-0.42954567074775696,0.41251814365386963,0.14724726974964142,0.14904189109802246,0.36044713854789734,0.009862244129180908,-0.4904392957687378,-0.871218740940094,-0.021152526140213013,-0.4460623860359192,0.27180755138397217,-0.852730393409729,0.17415308952331543,-0.39731380343437195,0.08287021517753601,0.4906007647514343,-0.821533739566803,0.2905052900314331,-0.3055894076824188,-0.47441840171813965,-0.8255558013916016,0.33347201347351074,0.004304932430386543,-0.03100007027387619,0.5204275846481323,-0.8539057970046997,-1.3697525957923062e-07,0.8539057970046997,0.5204275846481323,4.233139634379768e-07,0.3741801083087921,0.15617835521697998,-0.031000006943941116,0.29276391863822937,-0.1475684940814972,-0.031000133603811264
4,0.008645148947834969,-0.2694207727909088,-0.275309294462204,0.4915259778499603,0.09784112125635147,1.2423996925354004,0.23348912596702576,0.7308914065361023,-0.5382144451141357,0.42879313230514526,-0.4640808403491974,0.44397544860839844,-0.37511882185935974,-0.4309585392475128,-0.39269182085990906,0.1855684220790863,0.14011630415916443,-0.4752177298069,0.1913905292749405,0.5379332304000854,-0.2679717242717743,1.4348403215408325,-0.02936648763716221,0.730849027633667,-0.1804315149784088,0.13326191902160645,0.05542025715112686,0.4503365159034729,0.27186042070388794,-0.4287227392196655,0.41417309641838074,0.2116961032152176,0.16600584983825684,0.33830657601356506,0.005674839019775391,-0.5088350772857666,-0.860496461391449,-0.025152534246444702,-0.4132862687110901,0.269809365272522,-0.8697111010551453,0.19244599342346191,-0.38440269231796265,0.08337146043777466,0.447955846786499,-0.844273567199707,0.2941730320453644,-0.27482858300209045,-0.4431333541870117,-0.8532890677452087,0.33347201347351074,0.004304906353354454,-0.031000036746263504,0.5204273462295532,-0.853905975818634,-2.5840563466772437e-07,0.853905975818634,0.5204273462295532,9.554828750424349e-08,0.3741801381111145,0.1561783254146576,-0.03099999949336052,0.292763888835907,-0.14756852388381958,-0.03100007399916649
5,-0.021362634375691414,-0.2394552081823349,-0.3050786256790161,0.5195550918579102,0.07094322890043259,1.2124059200286865,0.20573008060455322,0.7309941053390503,-0.5547877550125122,0.4326076805591583,-0.4661043882369995,0.42276617884635925,-0.38914620876312256,-0.4299345016479492,-0.3886374235153198,0.013880264014005661,0.1376892775297165,-0.44983765482902527,0.20265427231788635,0.56446373462677,-0.23999622464179993,1.4049285650253296,0.00041192088974639773,0.730863094329834,0.03043401427567005,0.4234294891357422,0.19840817153453827,0.37048253417015076,0.40182849764823914,-0.4285537302494049,0.41561374068260193,0.16199617087841034,0.18043828010559082,0.31376442313194275,0.0014064013957977295,-0.525826096534729,-0.8502253293991089,-0.024975746870040894,-0.3828554153442383,0.26279497146606445,-0.8856412768363953,0.20626235008239746,-0.3672063946723938,0.08013179898262024,0.4197831153869629,-0.8616473078727722,0.2852122485637665,-0.25568288564682007,-0.4137789011001587,-0.8737353682518005,0.33347201347351074,0.004304947797209024,-0.031000055372714996,0.5204274654388428,-0.8539059162139893,1.6374717404232797e-07,0.8539059162139893,0.5204274654388428,3.143589708543004e-07,0.3741801381111145,0.15617837011814117,-0.031000036746263504,0.292763888835907,-0.147568479180336,-0.03100007399916649
6,-0.051438067108392715,-0.20960021018981934,-0.3348310589790344,0.5443736910820007,0.04264577850699425,1.182364583015442,0.17919683456420898,0.7310084700584412,-0.5706580281257629,0.4383352994918823,-0.4678656756877899,0.364811509847641,-0.4091516435146332,-0.42747044563293457,-0.37181800603866577,0.0534755177795887,0.15548017621040344,-0.4213310480117798,0.2217106819152832,0.5732684135437012,-0.21052971482276917,1.3748769760131836,0.03017931431531906,0.7309784293174744,0.3639816641807556,0.467949777841568,0.3382588028907776,0.07672913372516632,0.4305814802646637,-0.42125335335731506,0.416390985250473,-0.007167770992964506,0.1908724308013916,0.28748422861099243,-0.003321021795272827,-0.5419117212295532,-0.8402070999145508,-0.019590020179748535,-0.3573443591594696,0.25144994258880615,-0.8994876146316528,0.21184563636779785,-0.34720340371131897,0.07190944254398346,0.4180280566215515,-0.8664645552635193,0.27293163537979126,-0.24414151906967163,-0.39654314517974854,-0.8849565982818604,0.33347201347351074,0.004304905887693167,-0.031000036746263504,0.520427405834198,-0.8539059162139893,-1.391533288597202e-07,0.8539059162139893,0.520427405834198,4.220015910050279e-07,0.3741801381111145,0.1561783254146576,-0.03099997341632843,0.292763888835907,-0.14756852388381958,-0.031000100076198578
7,-0.08143337070941925,-0.17960399389266968,-0.36451226472854614,0.5673229694366455,0.014546975493431091,1.152371883392334,0.15321962535381317,0.7310172915458679,-0.5828601717948914,0.43956807255744934,-0.4658905267715454,0.34039443731307983,-0.4035535156726837,-0.4268271327018738,-0.36308497190475464,0.006208362057805061,0.17805443704128265,-0.3924003839492798,0.24641388654708862,0.5797770619392395,-0.18078483641147614,1.3450723886489868,0.059933532029390335,0.7310071587562561,0.41410893201828003,0.43928343057632446,0.4022769331932068,0.09106072038412094,0.42930281162261963,-0.4238697290420532,0.41649770736694336,-0.010854071006178856,0.19798493385314941,0.260166198015213,-0.008198127150535583,-0.5574462413787842,-0.830142617225647,-0.010808110237121582,-0.33580493927001953,0.23736310005187988,-0.9115337133407593,0.21501898765563965,-0.3254605829715729,0.06312642991542816,0.4246252775192261,-0.8669779300689697,0.2608499825000763,-0.2327514886856079,-0.38296449184417725,-0.8939603567123413,0.33347201347351074,0.004304902628064156,-0.031000033020973206,0.520427405834198,-0.8539059162139893,8.4472173700334e-10,0.8539059162139893,0.520427405834198,6.014441851220909e-07,0.3741801381111145,0.1561783254146576,-0.030999965965747833,0.292763888835907,-0.14756852388381958,-0.031000100076198578
8,-0.11064275354146957,-0.14933772385120392,-0.39382046461105347,0.5930579900741577,-0.010198669508099556,1.1224839687347412,0.12726716697216034,0.7309935688972473,-0.5757015347480774,0.4327493906021118,-0.4560639560222626,0.39861559867858887,-0.35658568143844604,-0.42877891659736633,-0.36334124207496643,0.02793716825544834,0.2030070275068283,-0.3660424053668976,0.274846613407135,0.5839605331420898,-0.15142177045345306,1.3151566982269287,0.08968041837215424,0.7310258746147156,0.4616621732711792,0.40438076853752136,0.45963817834854126,0.04789459705352783,0.425200879573822,-0.4225904047489166,0.4165877103805542,-0.038801342248916626,0.2045276165008545,0.23190200328826904,-0.012179158627986908,-0.5732934474945068,-0.8193486928939819,-0.0015823545400053263,-0.31371134519577026,0.22128522396087646,-0.9233732223510742,0.21604466438293457,-0.3028826415538788,0.05436381697654724,0.4355282783508301,-0.8648855090141296,0.24957644939422607,-0.22026988863945007,-0.3712191581726074,-0.902040958404541,0.33347201347351074,0.0043049585074186325,-0.03100007027387619,0.5204274654388428,-0.8539058566093445,-5.074438718111196e-07,0.8539058566093445,0.5204274654388428,5.513085170605336e-07,0.3741801381111145,0.15617838501930237,-0.03099995106458664,0.292763888835907,-0.1475684642791748,-0.03100018948316574
9,-0.13934174180030823,-0.11956287920475006,-0.4206562936306,0.6197267770767212,-0.030424008145928383,1.0925354957580566,0.09956702589988708,0.7310073375701904,-0.5605112314224243,0.4296092987060547,-0.415603905916214,0.4043475389480591,-0.2915128767490387,-0.42801767587661743,-0.38763853907585144,0.009421098977327347,0.2268839031457901,-0.34382691979408264,0.29977983236312866,0.5944559574127197,-0.12318538874387741,1.2854256629943848,0.11943367123603821,0.7309983968734741,0.41771167516708374,0.3069886863231659,0.38832879066467285,0.18471361696720123,0.40400928258895874,-0.427442342042923,0.4166596233844757,-0.037631016224622726,0.21019768714904785,0.2037048190832138,-0.015415936708450317,-0.5872688293457031,-0.8093622922897339,0.006941170431673527,-0.2917414903640747,0.20367109775543213,-0.9345614314079285,0.2191789150238037,-0.2791537940502167,0.04826849699020386,0.4409399628639221,-0.8655460476875305,0.23749113082885742,-0.20226642489433289,-0.3536238670349121,-0.9132571220397949,0.33347201347351074,0.004304951056838036,-0.03100007027387619,0.5204275846481323,-0.8539057970046997,-6.203084126354952e-07,0.8539057970046997,0.5204275846481323,3.714622209827212e-07,0.3741801083087921,0.15617837011814117,-0.030999962240457535,0.29276391863822937,-0.147568479180336,-0.031000178307294846
