step,time,current_tcp_x,current_tcp_y,current_tcp_z,commanded_tcp_x,commanded_tcp_y,commanded_tcp_z,delta_tcp_x,delta_tcp_y,delta_tcp_z,current_tcp_roll,current_tcp_pitch,current_tcp_yaw,commanded_tcp_roll,commanded_tcp_pitch,commanded_tcp_yaw,delta_tcp_roll,delta_tcp_pitch,delta_tcp_yaw,qpos_0,commanded_qpos_0,action_0,delta_q_0,qpos_1,commanded_qpos_1,action_1,delta_q_1,qpos_2,commanded_qpos_2,action_2,delta_q_2,qpos_3,commanded_qpos_3,action_3,delta_q_3,qpos_4,commanded_qpos_4,action_4,delta_q_4,qpos_5,commanded_qpos_5,action_5,delta_q_5,qpos_6,commanded_qpos_6,action_6,delta_q_6
0,0.0,0.3000721037387848,0.27194732427597046,0.016179673373699188,0.298101007938385,0.2604823708534241,0.011700563132762909,-0.0019710958003997803,-0.011464953422546387,-0.004479110240936279,2.382128953933716,-0.004748790990561247,0.006871383637189865,2.3809142112731934,-0.02842349372804165,-0.00607179244980216,-0.001214742660522461,-0.023674702271819115,-0.012943176552653313,-0.3324148654937744,-0.3524148762226105,-1.0,-0.019999999552965164,0.14740650355815887,0.16740649938583374,1.0,0.019999999552965164,0.6130023002624512,0.5930023193359375,-1.0,-0.019999999552965164,0.48704665899276733,0.49134525656700134,0.21492980420589447,0.004298596177250147,-1.045064926147461,-1.0650649070739746,-1.0,-0.019999999552965164,0.9838467836380005,0.9836171865463257,-0.011479475535452366,-0.0002295895101269707,1.1757252216339111,1.1557252407073975,-1.0,-0.019999999552965164
1,0.05,0.298330694437027,0.2623462677001953,0.012078367173671722,0.2968670427799225,0.24938756227493286,0.009093545377254486,-0.0014636516571044922,-0.012958705425262451,-0.0029848217964172363,2.3814165592193604,-0.025125514715909958,-0.005400181747972965,2.3740017414093018,-0.04974368214607239,-0.01621997356414795,-0.007414817810058594,-0.02461816743016243,-0.010819791816174984,-0.3491149842739105,-0.3691149950027466,-1.0,-0.019999999552965164,0.16551750898361206,0.18551750481128693,1.0,0.019999999552965164,0.5958139300346375,0.5758139491081238,-1.0,-0.019999999552965164,0.49087485671043396,0.4987379312515259,0.39315366744995117,0.007863073609769344,-1.0624356269836426,-1.0824356079101562,-1.0,-0.019999999552965164,0.9835664629936218,0.9911654591560364,0.37995031476020813,0.007599005941301584,1.1583291292190552,1.1383291482925415,-1.0,-0.019999999552965164
2,0.1,0.29622992873191833,0.24924200773239136,0.009127341210842133,0.29498550295829773,0.23611599206924438,0.006488442420959473,-0.0012444257736206055,-0.013126015663146973,-0.00263889878988266,2.3750407695770264,-0.051752969622612,-0.01130258571356535,2.3673527240753174,-0.0758267194032669,-0.02131791226565838,-0.007688045501708984,-0.024073749780654907,-0.010015326552093029,-0.37101447582244873,-0.3910144865512848,-1.0,-0.019999999552965164,0.18409720063209534,0.2040971964597702,1.0,0.019999999552965164,0.5767724514007568,0.5567724704742432,-1.0,-0.019999999552965164,0.4976194202899933,0.5072231888771057,0.48018932342529297,0.009603786282241344,-1.0798890590667725,-1.0998890399932861,-1.0,-0.019999999552965164,0.9903985261917114,0.9988390803337097,0.42202630639076233,0.008440526202321053,1.1409558057785034,1.1209558248519897,-1.0,-0.019999999552965164
3,0.15000000000000002,0.2945486009120941,0.23653312027454376,0.00655808299779892,0.2938227653503418,0.2232421487569809,0.004306472837924957,-0.0007258355617523193,-0.013290971517562866,-0.0022516101598739624,2.368558406829834,-0.07648447155952454,-0.01745019480586052,2.3608264923095703,-0.09962929040193558,-0.026240399107336998,-0.007731914520263672,-0.02314481884241104,-0.008790204301476479,-0.3916362226009369,-0.41163623332977295,-1.0,-0.019999999552965164,0.20250211656093597,0.22250211238861084,1.0,0.019999999552965164,0.5581299066543579,0.5381299257278442,-1.0,-0.019999999552965164,0.5060784816741943,0.5179054737091064,0.5913496613502502,0.011826992966234684,-1.0973296165466309,-1.1173295974731445,-1.0,-0.019999999552965164,0.9978939890861511,1.006880521774292,0.4493274688720703,0.008986549451947212,1.123579978942871,1.1035799980163574,-1.0,-0.019999999552965164
4,0.2,0.2932729423046112,0.22356949746608734,0.004349671304225922,0.29296350479125977,0.21002542972564697,0.0024677887558937073,-0.00030943751335144043,-0.013544067740440369,-0.0018818825483322144,2.362088680267334,-0.10062318295240402,-0.022211037576198578,2.3542723655700684,-0.12284033000469208,-0.029377300292253494,-0.007816314697265625,-0.022217147052288055,-0.007166262716054916,-0.41249021887779236,-0.4324902296066284,-1.0,-0.019999999552965164,0.22088585793972015,0.24065683782100677,0.9885492324829102,0.01977098360657692,0.5393391251564026,0.5193391442298889,-1.0,-0.019999999552965164,0.516574501991272,0.5303068161010742,0.6866167783737183,0.013732335530221462,-1.1147767305374146,-1.1347767114639282,-1.0,-0.019999999552965164,1.0058825016021729,1.0151630640029907,0.46402812004089355,0.009280562400817871,1.1062067747116089,1.086655855178833,-0.9775484800338745,-0.019550969824194908
5,0.25,0.29239484667778015,0.21043026447296143,0.0025033950805664062,0.2924814224243164,0.19631247222423553,0.0012953504920005798,8.657574653625488e-05,-0.014117792248725891,-0.0012080445885658264,2.355593204498291,-0.123741514980793,-0.02555071748793125,2.346682548522949,-0.14502166211605072,-0.027959225699305534,-0.008910655975341797,-0.02128014713525772,-0.002408508211374283,-0.4331977069377899,-0.453197717666626,-1.0,-0.019999999552965164,0.23899836838245392,0.2577890157699585,0.9395322799682617,0.01879064552485943,0.520551860332489,0.5005518794059753,-1.0,-0.019999999552965164,0.5288534164428711,0.5443219542503357,0.77342689037323,0.0154685378074646,-1.1322256326675415,-1.1522256135940552,-1.0,-0.019999999552965164,1.0141217708587646,1.0243585109710693,0.5118347406387329,0.010236694477498531,1.0892250537872314,1.0729724168777466,-0.8126305937767029,-0.016252610832452774
6,0.30000000000000004,0.2918798327445984,0.19677746295928955,0.0012910738587379456,0.2918887138366699,0.1821165531873703,0.0005682706832885742,8.881092071533203e-06,-0.01466090977191925,-0.0007228031754493713,2.3481662273406982,-0.1459326446056366,-0.024632394313812256,2.33831787109375,-0.16675052046775818,-0.022865716367959976,-0.009848356246948242,-0.020817875862121582,0.0017666779458522797,-0.4538693428039551,-0.47386935353279114,-1.0,-0.019999999552965164,0.25616124272346497,0.2739735245704651,0.8906142711639404,0.01781228557229042,0.5017291307449341,0.481729120016098,-1.0,-0.019999999552965164,0.5427600145339966,0.5590305924415588,0.8135295510292053,0.0162705909460783,-1.1496796607971191,-1.1696796417236328,-1.0,-0.019999999552965164,1.0231966972351074,1.0339503288269043,0.5376822352409363,0.01075364463031292,1.0751123428344727,1.0623035430908203,-0.6404402852058411,-0.012808805331587791
7,0.35000000000000003,0.2914469540119171,0.18257386982440948,0.0006977468729019165,0.2891717255115509,0.1700674295425415,-0.0027010366320610046,-0.002275228500366211,-0.012506440281867981,-0.003398783504962921,2.338979959487915,-0.16705429553985596,-0.0203270111232996,2.337905168533325,-0.18717944622039795,-0.014627555385231972,-0.0010747909545898438,-0.020125150680541992,0.005699455738067627,-0.4745919704437256,-0.49459198117256165,-1.0,-0.019999999552965164,0.27244386076927185,0.29120904207229614,0.9382585287094116,0.018765170127153397,0.48346272110939026,0.4634627103805542,-1.0,-0.019999999552965164,0.5575962662696838,0.5683648586273193,0.5384299755096436,0.01076859887689352,-1.1678632497787476,-1.1878632307052612,-1.0,-0.019999999552965164,1.0336058139801025,1.0339540243148804,0.017411373555660248,0.00034822747693397105,1.0644217729568481,1.0594602823257446,-0.248074010014534,-0.0049614799208939075
8,0.4,0.29118865728378296,0.17535458505153656,-0.0022538453340530396,0.2876889407634735,0.16649647057056427,-0.007337495684623718,-0.0034997165203094482,-0.00885811448097229,-0.005083650350570679,2.33327317237854,-0.17493900656700134,-0.026380883529782295,2.3386244773864746,-0.1903066337108612,-0.017847716808319092,0.00535130500793457,-0.015367627143859863,0.008533166721463203,-0.4846155047416687,-0.5036181211471558,-0.9501295685768127,-0.01900259032845497,0.2910662889480591,0.3081986606121063,0.8566179275512695,0.017132358625531197,0.4731961190700531,0.45817872881889343,-0.7508695721626282,-0.015017391182482243,0.566724956035614,0.5710194110870361,0.21472285687923431,0.004294456914067268,-1.188576579093933,-1.2078509330749512,-0.9637156128883362,-0.019274311140179634,1.038747787475586,1.0314713716506958,-0.3638230562210083,-0.007276460994035006,1.0627683401107788,1.0669689178466797,0.21002669632434845,0.004200533963739872
9,0.45,0.2872578501701355,0.16664467751979828,-0.007000543177127838,0.28575924038887024,0.17827902734279633,-0.014836318790912628,-0.0014986097812652588,0.011634349822998047,-0.00783577561378479,2.3383235931396484,-0.1917068362236023,-0.01726468838751316,2.3618483543395996,-0.18423782289028168,-0.017757831141352654,0.023524761199951172,0.007469013333320618,-0.0004931427538394928,-0.50357586145401,-0.49588340520858765,0.3846222758293152,0.007692445535212755,0.3069891929626465,0.318930447101593,0.5970629453659058,0.011941258795559406,0.4589305520057678,0.46784070134162903,0.44550758600234985,0.008910151198506355,0.5704203248023987,0.5634657144546509,-0.3477316200733185,-0.006954632233828306,-1.2053329944610596,-1.2018510103225708,0.17409837245941162,0.0034819673746824265,1.0325279235839844,1.0125279426574707,-1.0,-0.019999999552965164,1.0664160251617432,1.0843414068222046,0.8962679505348206,0.017925359308719635
