step,env_index,time,observation_000,observation_001,observation_002,observation_003,observation_004,observation_005,observation_006,observation_007,observation_008,observation_009,observation_010,observation_011,observation_012,observation_013,observation_014,observation_015,observation_016,observation_017,observation_018,observation_019,observation_020,observation_021,observation_022,observation_023,observation_024,observation_025,observation_026,observation_027,observation_028,observation_029,observation_030,observation_031,observation_032,action_000,action_001,action_002,action_003,action_004,action_005,action_006,action_007,clipped_action_000,clipped_action_001,clipped_action_002,clipped_action_003,clipped_action_004,clipped_action_005,clipped_action_006,clipped_action_007
0,0,0.0,-0.3319999873638153,0.14300000667572021,0.6230000257492065,0.4909999966621399,-1.0379999876022339,0.9919999837875366,1.1820000410079956,0.4399999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.1665000021457672,-0.03225000575184822,0.0,1.0,-1.0,0.0,1.980096975273682e-09,-4.3497849766538366e-10,0.30000001192092896,0.0,0.038499996066093445,0.0,1.0,-1.0,0.0,-0.0,0.0,0.5029280781745911,-0.489188015460968,-0.4310111999511719,0.5494401454925537,0.38598811626434326,0.30556339025497437,-0.32654550671577454,-0.08603719621896744,0.5029280781745911,-0.489188015460968,-0.4310111999511719,0.5494401454925537,0.38598811626434326,0.30556339025497437,-0.32654550671577454,-0.08603719621896744
1,0,0.05,-0.31278374791145325,0.12605509161949158,0.6057548522949219,0.5103861689567566,-1.0227960348129272,1.004067063331604,1.1691703796386719,0.43930086493492126,0.3034524917602539,-0.35216230154037476,-0.2581588625907898,0.3880249857902527,0.2326023280620575,0.18492677807807922,-0.19786286354064941,0.29997938871383667,0.16650395095348358,-0.03372257575392723,1.0609626770019531e-05,1.0,-1.0,1.0609626770019531e-05,-3.7762314605060965e-05,0.00016197437071241438,0.29999998211860657,4.931632879845438e-09,0.038499996066093445,2.980232238769531e-07,1.0,-1.0,2.980232238769531e-07,2.3068611199050792e-07,3.831275989796268e-07,0.5033060312271118,-0.5384063720703125,-0.4250987768173218,0.49503523111343384,0.4325735569000244,0.30044025182724,-0.3734295964241028,-0.015236792154610157,0.5033060312271118,-0.5384063720703125,-0.4250987768173218,0.49503523111343384,0.4325735569000244,0.30044025182724,-0.3734295964241028,-0.015236792154610157
2,0,0.1,-0.29329800605773926,0.10466029495000839,0.5890294909477234,0.530285120010376,-1.0058387517929077,1.0158448219299316,1.154518961906433,0.43919146060943604,0.30898308753967285,-0.3611454963684082,-0.25581884384155273,0.3293319642543793,0.26159295439720154,0.18244622647762299,-0.22651682794094086,0.2999872863292694,0.1665058135986328,-0.03374970331788063,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.6893295651243534e-06,3.1333948413703183e-07,0.30000001192092896,-1.240814562208925e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.21220204821293e-07,2.034208250734082e-07,0.4961141347885132,-0.548316240310669,-0.4302739202976227,0.48264357447624207,0.4481853246688843,0.30154985189437866,-0.38080528378486633,-0.0015226956456899643,0.4961141347885132,-0.548316240310669,-0.4302739202976227,0.48264357447624207,0.4481853246688843,0.30154985189437866,-0.38080528378486633,-0.0015226956456899643
3,0,0.15000000000000002,-0.2738495469093323,0.0829913392663002,0.5721373558044434,0.5494482517242432,-0.9882608652114868,1.027673602104187,1.1395756006240845,0.43916890025138855,0.30446872115135193,-0.36940130591392517,-0.2593267560005188,0.3242625594139099,0.2709578275680542,0.18290938436985016,-0.23098503053188324,0.2999872863292694,0.16650578379631042,-0.03374972194433212,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.574740394971741e-06,1.3816921295983775e-07,0.30000001192092896,-9.082823382300376e-10,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.2660537979390938e-07,2.2814190003828116e-07,0.4823574125766754,-0.5565307140350342,-0.44076111912727356,0.46311503648757935,0.4623827338218689,0.29691821336746216,-0.3878084719181061,0.010879231616854668,0.4823574125766754,-0.5565307140350342,-0.44076111912727356,0.46311503648757935,0.4623827338218689,0.29691821336746216,-0.3878084719181061,0.010879231616854668
4,0,0.2,-0.2547867000102997,0.06095883250236511,0.5548678636550903,0.5678855776786804,-0.9701247811317444,1.0393126010894775,1.124356985092163,0.43922945857048035,0.2954460680484772,-0.37498003244400024,-0.26648181676864624,0.31171736121177673,0.2795732915401459,0.18003511428833008,-0.23527702689170837,0.2999872863292694,0.16650579869747162,-0.03374980017542839,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.103241174860159e-06,9.073973572526484e-09,0.29999998211860657,-9.323362526458823e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.1098594515933655e-07,2.645831216341321e-07,0.46857818961143494,-0.5638781785964966,-0.4502038359642029,0.44382524490356445,0.47637471556663513,0.2919662594795227,-0.39420607686042786,0.023588741198182106,0.46857818961143494,-0.5638781785964966,-0.4502038359642029,0.44382524490356445,0.47637471556663513,0.2919662594795227,-0.39420607686042786,0.023588741198182106
5,0,0.25,-0.23624348640441895,0.03863247111439705,0.5372268557548523,0.5855622887611389,-0.9514393210411072,1.0507556200027466,1.1088870763778687,0.4393906891345978,0.28599613904953003,-0.38023659586906433,-0.2730335295200348,0.2996698021888733,0.2880459129810333,0.17698416113853455,-0.23918619751930237,0.2999873161315918,0.16650579869747162,-0.03374984860420227,9.834766387939453e-06,1.0,-1.0,9.834766387939453e-06,-8.475827257825586e-07,5.699261578229198e-07,0.29999998211860657,-1.740558275287185e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.404283977990417e-07,2.6034740585600957e-07,0.45453983545303345,-0.5703333616256714,-0.45873895287513733,0.4247586131095886,0.48984062671661377,0.28657668828964233,-0.4003336727619171,0.03611074388027191,0.45453983545303345,-0.5703333616256714,-0.45873895287513733,0.4247586131095886,0.48984062671661377,0.28657668828964233,-0.4003336727619171,0.03611074388027191
6,0,0.30000000000000004,-0.21823334693908691,0.01604510471224785,0.5192493796348572,0.6024894118309021,-0.9322255849838257,1.0619863271713257,1.0931767225265503,0.43965956568717957,0.27629995346069336,-0.38487961888313293,-0.27900388836860657,0.2877315580844879,0.29612502455711365,0.17378999292850494,-0.24288149178028107,0.2999873459339142,0.16650579869747162,-0.03374984860420227,9.715557098388672e-06,1.0,-1.0,9.715557098388672e-06,-8.922635288399761e-07,4.4340319504954095e-07,0.29999998211860657,-6.368878757712082e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.3817465571719367e-07,2.652407431469328e-07,0.4402301609516144,-0.5757815837860107,-0.4662550389766693,0.4059252142906189,0.5026792287826538,0.2807289958000183,-0.40615084767341614,0.04839310050010681,0.4402301609516144,-0.5757815837860107,-0.4662550389766693,0.4059252142906189,0.5026792287826538,0.2807289958000183,-0.40615084767341614,0.04839310050010681
7,0,0.35000000000000003,-0.2007712423801422,-0.006763772573322058,0.5009751319885254,0.6186762452125549,-0.9125081300735474,1.0729867219924927,1.0772377252578735,0.4400389492511749,0.26635339856147766,-0.38885924220085144,-0.2843388617038727,0.2759104371070862,0.3038364350795746,0.17028973996639252,-0.24639542400836945,0.299987256526947,0.16650579869747162,-0.033749811351299286,1.0192394256591797e-05,1.0,-1.0,1.0192394256591797e-05,-1.082180915545905e-06,2.5930637548299273e-07,0.29999998211860657,-6.699901078377479e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.3281399446896103e-07,2.666674276952108e-07,0.42563357949256897,-0.5801287889480591,-0.4726424515247345,0.3873220682144165,0.5147891640663147,0.27437299489974976,-0.41159799695014954,0.060374915599823,0.42563357949256897,-0.5801287889480591,-0.4726424515247345,0.3873220682144165,0.5147891640663147,0.27437299489974976,-0.41159799695014954,0.060374915599823
8,0,0.4,-0.18387430906295776,-0.029751136898994446,0.4824475944042206,0.6341317892074585,-0.8923154473304749,1.0837372541427612,1.0610849857330322,0.4405267834663391,0.2561410963535309,-0.39210185408592224,-0.28895264863967896,0.26419830322265625,0.31112250685691833,0.16644945740699768,-0.2496984750032425,0.2999873161315918,0.16650579869747162,-0.0337497740983963,1.0132789611816406e-05,1.0,-1.0,1.0132789611816406e-05,-1.2640109616768314e-06,4.07835187843375e-08,0.29999998211860657,-6.2666645206377325e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.3032285412227793e-07,2.9693475767089694e-07,0.41071709990501404,-0.5832557082176208,-0.47778794169425964,0.3689281940460205,0.5260633826255798,0.267435759305954,-0.4166163206100464,0.07199154794216156,0.41071709990501404,-0.5832557082176208,-0.47778794169425964,0.3689281940460205,0.5260633826255798,0.267435759305954,-0.4166163206100464,0.07199154794216156
9,0,0.45,-0.16756242513656616,-0.052869442850351334,0.46371549367904663,0.6488645672798157,-0.8716808557510376,1.094214677810669,1.0447355508804321,0.4411199986934662,0.24567385017871857,-0.39451831579208374,-0.2927744388580322,0.25257471203804016,0.3179108202457428,0.16225777566432953,-0.25274232029914856,0.2999873161315918,0.16650579869747162,-0.033749815076589584,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.0887575854212628e-06,8.414323104943833e-08,0.30000001192092896,-4.581615087317914e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.274468045015965e-07,3.21825382343377e-07,0.3954335153102875,-0.5850240588188171,-0.48156821727752686,0.3507060408592224,0.5363897681236267,0.25982439517974854,-0.4211446940898895,0.0831766277551651,0.3954335153102875,-0.5850240588188171,-0.48156821727752686,0.3507060408592224,0.5363897681236267,0.25982439517974854,-0.4211446940898895,0.0831766277551651
10,0,0.5,-0.15185756981372833,-0.07606580853462219,0.4448320269584656,0.6628813147544861,-0.8506414294242859,1.1043928861618042,1.0282076597213745,0.44181403517723083,0.23496562242507935,-0.3960020840167999,-0.29572808742523193,0.24101081490516663,0.3241259753704071,0.15765148401260376,-0.25548771023750305,0.2999872863292694,0.1665058135986328,-0.033749837428331375,9.834766387939453e-06,1.0,-1.0,9.834766387939453e-06,-9.647986871641479e-07,5.949563046669937e-07,0.29999998211860657,-1.1215687933940899e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.200124302158656e-07,3.4617542610249075e-07,0.37971964478492737,-0.5852748155593872,-0.48384493589401245,0.3326079845428467,0.5456429123878479,0.251420795917511,-0.42511406540870667,0.0938573032617569,0.37971964478492737,-0.5852748155593872,-0.48384493589401245,0.3326079845428467,0.5456429123878479,0.251420795917511,-0.42511406540870667,0.0938573032617569
11,0,0.55,-0.13678307831287384,-0.09928127378225327,0.4258558452129364,0.6761872172355652,-0.8292396068572998,1.1142412424087524,1.0115243196487427,0.4426042437553406,0.22403432428836823,-0.3964322805404663,-0.29773539304733276,0.22946974635124207,0.3296932280063629,0.15256963670253754,-0.2578951120376587,0.29998722672462463,0.16650578379631042,-0.033749766647815704,1.043081283569336e-05,0.9999999403953552,-0.9999999403953552,1.043081283569336e-05,-1.343114149676694e-06,-1.6194120178170124e-07,0.29999998211860657,-8.046667332450852e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.1100399888164247e-07,3.8879977637407137e-07,0.36349231004714966,-0.583821713924408,-0.48446011543273926,0.31456902623176575,0.5536865592002869,0.24207299947738647,-0.4284506142139435,0.10395701974630356,0.36349231004714966,-0.583821713924408,-0.48446011543273926,0.31456902623176575,0.5536865592002869,0.24207299947738647,-0.4284506142139435,0.10395701974630356
12,0,0.6000000000000001,-0.12236422300338745,-0.1224496066570282,0.406851589679718,0.6887843608856201,-0.8075228929519653,1.1237226724624634,0.9947099685668945,0.44348379969596863,0.2128887176513672,-0.39566996693611145,-0.29870423674583435,0.21790370345115662,0.3345331847667694,0.1469242125749588,-0.2599148154258728,0.2999873161315918,0.16650576889514923,-0.033749744296073914,9.834766387939453e-06,1.0,-1.0,9.834766387939453e-06,-1.4283801874626079e-06,4.000641524726234e-07,0.29999998211860657,-1.5518793361479766e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.1065507976582012e-07,3.958010950100288e-07,0.3466409146785736,-0.5804443955421448,-0.48323366045951843,0.2965044379234314,0.5603688359260559,0.23158438503742218,-0.4310723841190338,0.11339156329631805,0.3466409146785736,-0.5804443955421448,-0.48323366045951843,0.2965044379234314,0.5603688359260559,0.23158438503742218,-0.4310723841190338,0.11339156329631805
13,0,0.65,-0.10862849652767181,-0.14549598097801208,0.3878912031650543,0.7006722092628479,-0.7855440378189087,1.1327927112579346,0.9777926206588745,0.44444623589515686,0.20150849223136902,-0.3935537040233612,-0.2985270321369171,0.206246480345726,0.338564932346344,0.14056909084320068,-0.26150819659233093,0.2999872863292694,0.1665058135986328,-0.033749815076589584,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.09404641079891e-06,5.18759975420835e-07,0.29999998211860657,-1.7866167212332584e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.3296954648467363e-07,4.332852086008643e-07,0.32902637124061584,-0.5748854875564575,-0.4799608290195465,0.2783086597919464,0.5655189752578735,0.21970628201961517,-0.4328876733779907,0.12206898629665375,0.32902637124061584,-0.5748854875564575,-0.4799608290195465,0.2783086597919464,0.5655189752578735,0.21970628201961517,-0.4328876733779907,0.12206898629665375
14,0,0.7000000000000001,-0.0956072062253952,-0.16833548247814178,0.3690541982650757,0.7118454575538635,-0.7633638381958008,1.14139723777771,0.9608038663864136,0.44548359513282776,0.18984079360961914,-0.38989824056625366,-0.29707565903663635,0.19442765414714813,0.341691792011261,0.133367657661438,-0.26261454820632935,0.2999873161315918,0.16650578379631042,-0.033749792724847794,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.2296594604777056e-06,-3.2017362627811963e-07,0.29999998211860657,-1.2855179143400619e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.236262789916509e-07,4.717972785783786e-07,0.3104773461818695,-0.5668471455574036,-0.4744146168231964,0.2598492205142975,0.5689522624015808,0.206131249666214,-0.43380028009414673,0.12989048659801483,0.3104773461818695,-0.5668471455574036,-0.4744146168231964,0.2598492205142975,0.5689522624015808,0.206131249666214,-0.43380028009414673,0.12989048659801483
15,0,0.75,-0.0833369791507721,-0.1908717155456543,0.3504295349121094,0.722294270992279,-0.7410491704940796,1.149469256401062,0.9437795281410217,0.4465879797935486,0.17779646813869476,-0.38449299335479736,-0.2942085266113281,0.18234719336032867,0.34379053115844727,0.12513144314289093,-0.26317837834358215,0.2999872863292694,0.16650578379631042,-0.03374972939491272,1.0073184967041016e-05,1.0,-1.0,1.0073184967041016e-05,-1.5418123666677275e-06,8.416949270895202e-08,0.30000001192092896,-1.7403358754108922e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.131308036723567e-07,1.5960307564455434e-07,0.2907997965812683,-0.5560048818588257,-0.4663589596748352,0.24097642302513123,0.5704711675643921,0.19050543010234833,-0.43370991945266724,0.13675108551979065,0.2907997965812683,-0.5560048818588257,-0.4663589596748352,0.24097642302513123,0.5704711675643921,0.19050543010234833,-0.43370991945266724,0.13675108551979065
